county,office,district,candidate,incumbent,party,votes,pct
ANDERSON,U. S. Senator,,Paul Sadler,FALSE,DEM,125,76.22
ANDERSON,U. S. Senator,,Grady Yarbrough,FALSE,DEM,39,23.78
ANDERSON,U. S. Senator,,Total,,,164,
ANDERSON,U. S. Representative,5,Tom Berry,FALSE,DEM,59,36.65
ANDERSON,U. S. Representative,5,Linda S. Mrosko,FALSE,DEM,102,63.35
ANDERSON,U. S. Representative,5,Total,,,161,
ANDREWS,U. S. Senator,,Paul Sadler,FALSE,DEM,9,60
ANDREWS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,6,40
ANDREWS,U. S. Senator,,Total,,,15,
ANDREWS,Justice 8th Court of Appeals District,2,Marcos Lizarraga,FALSE,DEM,5,35.71
ANDREWS,Justice 8th Court of Appeals District,2,Yvonne Rodriguez,FALSE,DEM,9,64.29
ANDREWS,Justice 8th Court of Appeals District,2,Total,,,14,
ANGELINA,U. S. Senator,,Paul Sadler,FALSE,DEM,219,75.78
ANGELINA,U. S. Senator,,Grady Yarbrough,FALSE,DEM,70,24.22
ANGELINA,U. S. Senator,,Total,,,289,
ARANSAS,U. S. Senator,,Paul Sadler,FALSE,DEM,106,77.37
ARANSAS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,31,22.63
ARANSAS,U. S. Senator,,Total,,,137,
ARANSAS,U. S. Representative,27,Rose Meza Harrison,FALSE,DEM,110,79.14
ARANSAS,U. S. Representative,27,Jerry J. Trevino,FALSE,DEM,29,20.86
ARANSAS,U. S. Representative,27,Total,,,139,
ARANSAS,Member State Board of Education,2,"Ruben Cortez, Jr.",FALSE,DEM,38,29.23
ARANSAS,Member State Board of Education,2,Celeste Zepeda Sanchez,FALSE,DEM,92,70.77
ARANSAS,Member State Board of Education,2,Total,,,130,
ARCHER,U. S. Senator,,Paul Sadler,FALSE,DEM,8,72.73
ARCHER,U. S. Senator,,Grady Yarbrough,FALSE,DEM,3,27.27
ARCHER,U. S. Senator,,Total,,,11,
ARMSTRONG,U. S. Senator,,Paul Sadler,FALSE,DEM,0,0
ARMSTRONG,U. S. Senator,,Grady Yarbrough,FALSE,DEM,0,0
ARMSTRONG,U. S. Senator,,Total,,,0,
ATASCOSA,U. S. Senator,,Paul Sadler,FALSE,DEM,100,68.49
ATASCOSA,U. S. Senator,,Grady Yarbrough,FALSE,DEM,46,31.51
ATASCOSA,U. S. Senator,,Total,,,146,
AUSTIN,U. S. Senator,,Paul Sadler,FALSE,DEM,40,80
AUSTIN,U. S. Senator,,Grady Yarbrough,FALSE,DEM,10,20
AUSTIN,U. S. Senator,,Total,,,50,
BAILEY,U. S. Senator,,Paul Sadler,FALSE,DEM,4,66.67
BAILEY,U. S. Senator,,Grady Yarbrough,FALSE,DEM,2,33.33
BAILEY,U. S. Senator,,Total,,,6,
BANDERA,U. S. Senator,,Paul Sadler,FALSE,DEM,53,68.83
BANDERA,U. S. Senator,,Grady Yarbrough,FALSE,DEM,24,31.17
BANDERA,U. S. Senator,,Total,,,77,
BASTROP,U. S. Senator,,Paul Sadler,FALSE,DEM,719,68.94
BASTROP,U. S. Senator,,Grady Yarbrough,FALSE,DEM,324,31.06
BASTROP,U. S. Senator,,Total,,,1043,
BASTROP,U. S. Representative,27,Rose Meza Harrison,FALSE,DEM,164,69.49
BASTROP,U. S. Representative,27,Jerry J. Trevino,FALSE,DEM,72,30.51
BASTROP,U. S. Representative,27,Total,,,236,
BAYLOR,U. S. Senator,,Paul Sadler,FALSE,DEM,12,92.31
BAYLOR,U. S. Senator,,Grady Yarbrough,FALSE,DEM,1,7.69
BAYLOR,U. S. Senator,,Total,,,13,
BEE,U. S. Senator,,Paul Sadler,FALSE,DEM,178,57.98
BEE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,129,42.02
BEE,U. S. Senator,,Total,,,307,
BEE,U. S. Representative,34,Denise Saenz Blanchard,FALSE,DEM,95,29.23
BEE,U. S. Representative,34,Filemon Vela,FALSE,DEM,230,70.77
BEE,U. S. Representative,34,Total,,,325,
BELL,U. S. Senator,,Paul Sadler,FALSE,DEM,456,70.05
BELL,U. S. Senator,,Grady Yarbrough,FALSE,DEM,195,29.95
BELL,U. S. Senator,,Total,,,651,
BEXAR,U. S. Senator,,Paul Sadler,FALSE,DEM,13967,67.21
BEXAR,U. S. Senator,,Grady Yarbrough,FALSE,DEM,6815,32.79
BEXAR,U. S. Senator,,Total,,,20782,
BEXAR,U. S. Representative,23,Pete P. Gallego,FALSE,DEM,1731,40.92
BEXAR,U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,2499,59.08
BEXAR,U. S. Representative,23,Total,,,4230,
BEXAR,State Representative,117,Philip Cortez,FALSE,DEM,1802,56.97
BEXAR,State Representative,117,Tina Torres,FALSE,DEM,1361,43.03
BEXAR,State Representative,117,Total,,,3163,
BEXAR,District Judge,37th Judicial District,Nicole Elizalde Henning,FALSE,DEM,10303,44.46
BEXAR,District Judge,37th Judicial District,Michael Mery,FALSE,DEM,12873,55.54
BEXAR,District Judge,37th Judicial District,Total,,,23176,
BLANCO,U. S. Senator,,Paul Sadler,FALSE,DEM,35,72.92
BLANCO,U. S. Senator,,Grady Yarbrough,FALSE,DEM,13,27.08
BLANCO,U. S. Senator,,Total,,,48,
BORDEN,U. S. Senator,,Paul Sadler,FALSE,DEM,7,70
BORDEN,U. S. Senator,,Grady Yarbrough,FALSE,DEM,3,30
BORDEN,U. S. Senator,,Total,,,10,
BOSQUE,U. S. Senator,,Paul Sadler,FALSE,DEM,49,64.47
BOSQUE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,27,35.53
BOSQUE,U. S. Senator,,Total,,,76,
BOWIE,U. S. Senator,,Paul Sadler,FALSE,DEM,257,78.35
