county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Madison,101,Ballots Cast,,,,,,,563
Madison,101,Straight Party,,,REP,30,124,126,280
Madison,101,Straight Party,,,DEM,7,16,25,48
Madison,101,Straight Party,,,LIB,0,0,1,1
Madison,101,Straight Party,,,GRN,0,1,1,2
Madison,101,Straight Party,,Over Votes,,0,0,0,0
Madison,101,Straight Party,,Under Votes,,13,100,119,232
Madison,101,U.S. Senate,,John Cornyn,,39,199,219,457
Madison,101,U.S. Senate,,David M. Alameel,,9,31,39,79
Madison,101,U.S. Senate,,Rebecca Paddock,,0,4,3,7
Madison,101,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,2,3,5
Madison,101,U.S. Senate,,MOHAMMED TAHIRO (W),,0,0,0,0
Madison,101,U.S. Senate,,Over Votes,,0,0,0,0
Madison,101,U.S. Senate,,Under Votes,,2,5,8,15
Madison,101,U.S. House,8,Kevin Brady,,38,203,228,469
Madison,101,U.S. House,8,Ken Petty,,4,14,11,29
Madison,101,U.S. House,8,Over Votes,,0,0,0,0
Madison,101,U.S. House,8,Under Votes,,8,24,33,65
Madison,101,Governor,,Greg Abbott,,40,193,223,456
Madison,101,Governor,,Wendy R. Davis,,10,41,42,93
Madison,101,Governor,,Kathie Glass,,0,4,1,5
Madison,101,Governor,,Brandon Parmer,,0,0,2,2
Madison,101,Governor,,SARAH M. PAVITT (W),,0,0,0,0
Madison,101,Governor,,Over Votes,,0,0,0,0
Madison,101,Governor,,Under Votes,,0,3,4,7
Madison,101,Lieutenant Governor,,Dan Patrick,,39,197,225,461
Madison,101,Lieutenant Governor,,Leticia Van de Putte,,8,38,39,85
Madison,101,Lieutenant Governor,,Robert D. Butler,,1,4,4,9
Madison,101,Lieutenant Governor,,Chandrakantha Courtney,,0,0,2,2
Madison,101,Lieutenant Governor,,Over Votes,,0,0,0,0
Madison,101,Lieutenant Governor,,Under Votes,,2,2,2,6
Madison,101,Ballots Cast,,,,,,,563
Madison,101,Attorney General,,Ken Paxton,,39,195,214,448
Madison,101,Attorney General,,Sam Houston,,9,42,49,100
Madison,101,Attorney General,,Jamie Balagia,,0,2,3,5
Madison,101,Attorney General,,Jamar Osborne,,0,0,0,0
Madison,101,Attorney General,,Over Votes,,0,0,0,0
Madison,101,Attorney General,,Under Votes,,2,2,6,10
Madison,101,Comptroller of Public Accounts,,Glenn Hegar,,38,191,210,439
Madison,101,Comptroller of Public Accounts,,Mike Collier,,10,41,45,96
Madison,101,Comptroller of Public Accounts,,Ben Sanders,,0,4,4,8
Madison,101,Comptroller of Public Accounts,,Deb Shafto,,0,1,2,3
Madison,101,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Madison,101,Comptroller of Public Accounts,,Under Votes,,2,4,11,17
Madison,101,Commissioner of the General Land Office,,George P. Bush,,37,195,215,447
Madison,101,Commissioner of the General Land Office,,John Cook,,11,40,40,91
Madison,101,Commissioner of the General Land Office,,Justin Knight,,0,3,8,11
Madison,101,Commissioner of the General Land Office,,Valerie Alessi,,0,1,2,3
Madison,101,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Madison,101,Commissioner of the General Land Office,,Under Votes,,2,2,7,11
Madison,101,Commissioner of Agriculture,,Sid Miller,,39,198,208,445
Madison,101,Commissioner of Agriculture,,Jim Hogan,,9,39,44,92
Madison,101,Commissioner of Agriculture,,David (Rocky) Palmquist,,0,1,5,6
Madison,101,Commissioner of Agriculture,,Kenneth Kendrick,,0,1,4,5
Madison,101,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Madison,101,Commissioner of Agriculture,,Under Votes,,2,2,11,15
Madison,101,Railroad Commissioner,,Ryan Sitton,,38,193,207,438
Madison,101,Railroad Commissioner,,Steve Brown,,8,42,47,97
Madison,101,Railroad Commissioner,,Mark A. Miller,,1,2,4,7
Madison,101,Railroad Commissioner,,Martina Salinas,,1,1,2,4
Madison,101,Railroad Commissioner,,Over Votes,,0,0,0,0
Madison,101,Railroad Commissioner,,Under Votes,,2,3,12,17
Madison,101,Ballots Cast,,,,,,,563
Madison,101,Ballots Cast,,,,,,,563
Madison,101,State Senate,5,Charles Schwertner,,38,197,223,458
Madison,101,State Senate,5,Joel Shapiro,,9,40,39,88
Madison,101,State Senate,5,Matthew Whittington,,0,2,3,5
Madison,101,State Senate,5,Over Votes,,0,0,0,0
Madison,101,State Senate,5,Under Votes,,3,2,7,12
Madison,101,State Representative,57,Trent Ashby,,39,205,237,481
Madison,101,State Representative,57,Over Votes,,0,0,0,0
