county,precinct,office,district,party,candidate,votes
Angelina,PRECINCT 1,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,542
Angelina,PRECINCT 2,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2597
Angelina,PRECINCT 3,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1804
Angelina,PRECINCT 4,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1434
Angelina,PRECINCT 5,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1891
Angelina,PRECINCT 6,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,438
Angelina,PRECINCT 7,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,888
Angelina,PRECINCT 8,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1032
Angelina,PRECINCT 9,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,282
Angelina,PRECINCT 10,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1297
Angelina,PRECINCT 11,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1926
Angelina,PRECINCT 11B,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1266
Angelina,PRECINCT 12,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,854
Angelina,PRECINCT 13,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,717
Angelina,PRECINCT 14,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1758
Angelina,PRECINCT 15,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,621
Angelina,PRECINCT 16,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2210
Angelina,PRECINCT 17,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1605
Angelina,PRECINCT 17B,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,451
Angelina,PRECINCT 18,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,609
Angelina,PRECINCT 19,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1445
