county,precinct,office,district,party,candidate,votes
Freestone,0001,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2832
Freestone,0002,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1572
Freestone,0003,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,150
Freestone,0004,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,359
Freestone,0005,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2121
Freestone,0006,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,463
Freestone,0007,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,825
Freestone,0008,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,487
Freestone,0009,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,551
Freestone,0010,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,323
Freestone,0011,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,670
Freestone,0012,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,168
Freestone,0013,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,330
Freestone,0014,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,450
Freestone,0015,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,287
Freestone,0001,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1517
Freestone,0002,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,772
Freestone,0003,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,73
Freestone,0004,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,179
Freestone,0005,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,845
Freestone,0006,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,249
Freestone,0007,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,303
Freestone,0008,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,259
Freestone,0009,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,243
Freestone,0010,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,187
