county,precinct,office,district,party,candidate,votes,early_votes,election_day
Lubbock,1,President,,REP,Rick Santorum,1,0,1
Lubbock,1,President,,REP,Carly Fiorina,0,0,0
Lubbock,1,President,,REP,John R. Kasich,8,3,5
Lubbock,1,President,,REP,Mike Huckabee,1,0,1
Lubbock,1,President,,REP,Jeb Bush,15,14,1
Lubbock,1,President,,REP,Elizabeth Gray,1,1,0
Lubbock,1,President,,REP,Rand Paul,1,1,0
Lubbock,1,President,,REP,Lindsey Graham,0,0,0
Lubbock,1,President,,REP,Marco Rubio,68,37,31
Lubbock,1,President,,REP,Chris Christie,1,0,1
Lubbock,1,President,,REP,Ben Carson,21,11,10
Lubbock,1,President,,REP,Donald J. Trump,82,55,27
Lubbock,1,President,,REP,Ted Cruz,129,69,60
Lubbock,1,President,,REP,Uncommitted,9,8,1
Lubbock,1,U.S. House,19,REP,Greg Garrett,19,10,9
Lubbock,1,U.S. House,19,REP,John C. Key,4,3,1
Lubbock,1,U.S. House,19,REP,Jason Corley,3,1,2
Lubbock,1,U.S. House,19,REP,DeRenda Warren,7,6,1
Lubbock,1,U.S. House,19,REP,Glen Robertson,167,109,58
Lubbock,1,U.S. House,19,REP,Don Parrish,2,2,0
Lubbock,1,U.S. House,19,REP,Michael Bob Starr,32,18,14
Lubbock,1,U.S. House,19,REP,Jodey Arrington,53,23,30
Lubbock,1,U.S. House,19,REP,Donald R. May,24,11,13
Lubbock,1,Railroad Commissioner,,REP,Ron Hale,67,41,26
Lubbock,1,Railroad Commissioner,,REP,John Greytok,10,7,3
Lubbock,1,Railroad Commissioner,,REP,Wayne Christian,35,23,12
Lubbock,1,Railroad Commissioner,,REP,Lance N. Christian,23,15,8
Lubbock,1,Railroad Commissioner,,REP,Doug Jeffrey,21,9,12
Lubbock,1,Railroad Commissioner,,REP,Weston Martinez,47,20,27
Lubbock,1,Railroad Commissioner,,REP,Gary Gates,51,32,19
Lubbock,1,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,128,72,56
