county,precinct,office,district,candidate,party,votes
Crosby,11,,,Early Ballots Cast,,182
Crosby,27,,,Early Ballots Cast,,356
Crosby,39,,,Early Ballots Cast,,77
Crosby,44,,,Early Ballots Cast,,260
Crosby,Total,,,Early Ballots Cast,,875
Crosby,11,,,Election Ballots Cast,,160
Crosby,27,,,Election Ballots Cast,,157
Crosby,39,,,Election Ballots Cast,,311
Crosby,44,,,Election Ballots Cast,,262
Crosby,Total,,,Election Ballots Cast,,890
Crosby,11,,,Total Ballots Cast,,342
Crosby,27,,,Total Ballots Cast,,513
Crosby,39,,,Total Ballots Cast,,388
Crosby,44,,,Total Ballots Cast,,522
Crosby,Total,,,Total Ballots Cast,,1765
Crosby,11,,,Registered Voters,,0
Crosby,27,,,Registered Voters,,0
Crosby,39,,,Registered Voters,,0
Crosby,44,,,Registered Voters,,0
Crosby,Total,,,Registered Voters,,0
Crosby,11,,,Straight Party,REP,141
Crosby,27,,,Straight Party,REP,224
Crosby,39,,,Straight Party,REP,157
Crosby,44,,,Straight Party,REP,234
Crosby,Total,,,Straight Party,REP,756
Crosby,11,,,Straight Party,DEM,99
Crosby,27,,,Straight Party,DEM,105
Crosby,39,,,Straight Party,DEM,75
Crosby,44,,,Straight Party,DEM,96
Crosby,Total,,,Straight Party,DEM,375
Crosby,11,,,Straight Party,LIB,1
Crosby,27,,,Straight Party,LIB,3
Crosby,39,,,Straight Party,LIB,6
Crosby,44,,,Straight Party,LIB,5
Crosby,Total,,,Straight Party,LIB,15
Crosby,11,,,Straight Party,GRN,0
Crosby,27,,,Straight Party,GRN,0
Crosby,39,,,Straight Party,GRN,1
Crosby,44,,,Straight Party,GRN,1
Crosby,Total,,,Straight Party,GRN,2
Crosby,11,President,,Donald J. Trump / Mike Pence,REP,213
Crosby,27,President,,Donald J. Trump / Mike Pence,REP,355
Crosby,39,President,,Donald J. Trump / Mike Pence,REP,252
Crosby,44,President,,Donald J. Trump / Mike Pence,REP,361
Crosby,Total,President,,Donald J. Trump / Mike Pence,REP,1181
Crosby,11,President,,Hillary Clinton / Tim Kaine,DEM,107
Crosby,27,President,,Hillary Clinton / Tim Kaine,DEM,131
Crosby,39,President,,Hillary Clinton / Tim Kaine,DEM,106
Crosby,44,President,,Hillary Clinton / Tim Kaine,DEM,124
Crosby,Total,President,,Hillary Clinton / Tim Kaine,DEM,468
Crosby,11,President,,Gary Johnson / William Weld,LIB,12
Crosby,27,President,,Gary Johnson / William Weld,LIB,14
Crosby,39,President,,Gary Johnson / William Weld,LIB,15
Crosby,44,President,,Gary Johnson / William Weld,LIB,19
Crosby,Total,President,,Gary Johnson / William Weld,LIB,60
Crosby,11,President,,Jill Stein / Ajamu Baraka,GRN,1
Crosby,27,President,,Jill Stein / Ajamu Baraka,GRN,0
Crosby,39,President,,Jill Stein / Ajamu Baraka,GRN,3
Crosby,44,President,,Jill Stein / Ajamu Baraka,GRN,1
Crosby,Total,President,,Jill Stein / Ajamu Baraka,GRN,5
Crosby,11,President,,Darell L. Castle,,1
Crosby,27,President,,Darell L. Castle,,1
Crosby,39,President,,Darell L. Castle,,0
Crosby,44,President,,Darell L. Castle,,0
Crosby,Total,President,,Darell L. Castle,,2
Crosby,11,President,,Evan McMullin,,1
Crosby,27,President,,Evan McMullin,,2
Crosby,39,President,,Evan McMullin,,1
Crosby,44,President,,Evan McMullin,,1
Crosby,Total,President,,Evan McMullin,,5
Crosby,11,President,,Michael A Maturen,,0
Crosby,27,President,,Michael A Maturen,,0
Crosby,39,President,,Michael A Maturen,,0
Crosby,44,President,,Michael A Maturen,,1
Crosby,Total,President,,Michael A Maturen,,1
Crosby,11,U.S. House,19,Jodey Arringtom,REP,242
Crosby,27,U.S. House,19,Jodey Arringtom,REP,377
Crosby,39,U.S. House,19,Jodey Arringtom,REP,281
Crosby,44,U.S. House,19,Jodey Arringtom,REP,391
Crosby,Total,U.S. House,19,Jodey Arringtom,REP,1291
Crosby,11,U.S. House,19,Tony Bonar,LIB,12
Crosby,27,U.S. House,19,Tony Bonar,LIB,33
Crosby,39,U.S. House,19,Tony Bonar,LIB,32
Crosby,44,U.S. House,19,Tony Bonar,LIB,32
Crosby,Total,U.S. House,19,Tony Bonar,LIB,109
Crosby,11,U.S. House,19,Mark Lawson,GRN,7
Crosby,27,U.S. House,19,Mark Lawson,GRN,12
Crosby,39,U.S. House,19,Mark Lawson,GRN,14
Crosby,44,U.S. House,19,Mark Lawson,GRN,11
Crosby,Total,U.S. House,19,Mark Lawson,GRN,44
Crosby,11,Railroad Commissioner,,Wayne Christian,REP,212
Crosby,27,Railroad Commissioner,,Wayne Christian,REP,321
Crosby,39,Railroad Commissioner,,Wayne Christian,REP,231
Crosby,44,Railroad Commissioner,,Wayne Christian,REP,335
Crosby,Total,Railroad Commissioner,,Wayne Christian,REP,1099
Crosby,11,Railroad Commissioner,,Grady Yarbrough,DEM,106
Crosby,27,Railroad Commissioner,,Grady Yarbrough,DEM,144
Crosby,39,Railroad Commissioner,,Grady Yarbrough,DEM,118
Crosby,44,Railroad Commissioner,,Grady Yarbrough,DEM,130
Crosby,Total,Railroad Commissioner,,Grady Yarbrough,DEM,498
Crosby,11,Railroad Commissioner,,Mark Miller,LIB,5
Crosby,27,Railroad Commissioner,,Mark Miller,LIB,21
Crosby,39,Railroad Commissioner,,Mark Miller,LIB,15
Crosby,44,Railroad Commissioner,,Mark Miller,LIB,22
Crosby,Total,Railroad Commissioner,,Mark Miller,LIB,63
Crosby,11,Railroad Commissioner,,Martin Salinas,GRN,6
Crosby,27,Railroad Commissioner,,Martin Salinas,GRN,12
Crosby,39,Railroad Commissioner,,Martin Salinas,GRN,12
Crosby,44,Railroad Commissioner,,Martin Salinas,GRN,17
Crosby,Total,Railroad Commissioner,,Martin Salinas,GRN,47
Crosby,11,State Senate,28,Charles Perry,REP,241
Crosby,27,State Senate,28,Charles Perry,REP,391
Crosby,39,State Senate,28,Charles Perry,REP,289
Crosby,44,State Senate,28,Charles Perry,REP,403
Crosby,Total,State Senate,28,Charles Perry,REP,1324
Crosby,11,State Representative,68,Drew Springer,REP,237
Crosby,27,State Representative,68,Drew Springer,REP,389
Crosby,39,State Representative,68,Drew Springer,REP,286
Crosby,44,State Representative,68,Drew Springer,REP,402
Crosby,Total,State Representative,68,Drew Springer,REP,1314
