county,precinct,office,district,party,candidate,early_votes,election_day,votes
Ward,1E,President/Vice-President,,REP,Donald J. Trump /Mike Pence,195,115,310
Ward,1W,President/Vice-President,,REP,Donald J. Trump /Mike Pence,15,39,54
Ward,2,President/Vice-President,,REP,Donald J. Trump /Mike Pence,633,285,918
Ward,3N,President/Vice-President,,REP,Donald J. Trump /Mike Pence,403,216,619
Ward,3S,President/Vice-President,,REP,Donald J. Trump /Mike Pence,38,112,150
Ward,4E,President/Vice-President,,REP,Donald J. Trump /Mike Pence,235,100,335
Ward,4M,President/Vice-President,,REP,Donald J. Trump /Mike Pence,34,72,106
Ward,4W,President/Vice-President,,REP,Donald J. Trump /Mike Pence,20,35,55
Ward,2,President/Vice-President,,,Evan McMullin / Nathan Johnson,5,2,7
Ward,3N,President/Vice-President,,,Evan McMullin / Nathan Johnson,3,2,5
Ward,4E,President/Vice-President,,,Evan McMullin / Nathan Johnson,0,2,2
Ward,3N,President/Vice-President,,,Darrell L. Castle / Scott N. Bradley,2,0,2
Ward,1E,President/Vice-President,,LIB,Gary Johnson /William Weld,10,10,20
Ward,1W,President/Vice-President,,LIB,Gary Johnson /William Weld,0,1,1
Ward,2,President/Vice-President,,LIB,Gary Johnson /William Weld,7,10,17
Ward,3N,President/Vice-President,,LIB,Gary Johnson /William Weld,6,8,14
Ward,3S,President/Vice-President,,LIB,Gary Johnson /William Weld,0,5,5
Ward,4E,President/Vice-President,,LIB,Gary Johnson /William Weld,8,12,20
Ward,4M,President/Vice-President,,LIB,Gary Johnson /William Weld,2,3,5
Ward,4W,President/Vice-President,,LIB,Gary Johnson /William Weld,0,0,0
Ward,1E,President/Vice-President,,DEM,Hillary Clinton /Tim Kaine,148,103,251
Ward,1W,President/Vice-President,,DEM,Hillary Clinton /Tim Kaine,10,58,68
Ward,2,President/Vice-President,,DEM,Hillary Clinton /Tim Kaine,101,98,199
Ward,3N,President/Vice-President,,DEM,Hillary Clinton /Tim Kaine,60,50,110
Ward,3S,President/Vice-President,,DEM,Hillary Clinton /Tim Kaine,2,18,20
Ward,4E,President/Vice-President,,DEM,Hillary Clinton /Tim Kaine,59,44,103
Ward,4M,President/Vice-President,,DEM,Hillary Clinton /Tim Kaine,5,20,25
Ward,4W,President/Vice-President,,DEM,Hillary Clinton /Tim Kaine,2,5,7
Ward,1E,President/Vice-President,,,Jill Stein /Ajamu Baraka,0,0,0
Ward,1W,President/Vice-President,,,Jill Stein /Ajamu Baraka,0,1,1
Ward,2,President/Vice-President,,,Jill Stein /Ajamu Baraka,2,2,4
Ward,3N,President/Vice-President,,,Jill Stein /Ajamu Baraka,1,0,1
Ward,3S,President/Vice-President,,,Jill Stein /Ajamu Baraka,1,1,2
Ward,4E,President/Vice-President,,,Jill Stein /Ajamu Baraka,1,1,2
Ward,4M,President/Vice-President,,,Jill Stein /Ajamu Baraka,0,0,0
Ward,4W,President/Vice-President,,,Jill Stein /Ajamu Baraka,0,0,0
Ward,1E,President/Vice-President,,,Jonathan Lee / Jeffrey Erskine,0,1,1
Ward,2,President/Vice-President,,,Michael A. Maturen / Juan A. Munoz,0,1,1
Ward,4E,President/Vice-President,,,Michael A. Maturen / Juan A. Munoz,1,0,1
Ward,1E,Railroad Commissioner,,DEM,Grady Yarbrough,141,93,234
Ward,1E,Railroad Commissioner,,LIB,Mark Miller,10,12,22
Ward,1E,Railroad Commissioner,,ONA,Martina Salinas,15,21,36
Ward,1E,Railroad Commissioner,,REP,Wayne Christian,171,96,267
