county,precinct,office,district,party,candidate,early_voting,election_day,votes
Winkler,101,Registered Voters,,,,,,978
Winkler,201,Registered Voters,,,,,,355
Winkler,202,Registered Voters,,,,,,709
Winkler,301,Registered Voters,,,,,,1031
Winkler,401,Registered Voters,,,,,,749
Winkler,101,Ballots Cast,,,,343,192,535
Winkler,201,Ballots Cast,,,,105,72,177
Winkler,202,Ballots Cast,,,,171,234,405
Winkler,301,Ballots Cast,,,,299,207,506
Winkler,401,Ballots Cast,,,,117,153,270
Winkler,101,Straight Party,,,Republican,144,69,213
Winkler,201,Straight Party,,,Republican,43,27,70
Winkler,202,Straight Party,,,Republican,69,110,179
Winkler,301,Straight Party,,,Republican,113,74,187
Winkler,401,Straight Party,,,Republican,31,48,79
Winkler,101,Straight Party,,,Democratic,34,30,64
Winkler,201,Straight Party,,,Democratic,14,16,30
Winkler,202,Straight Party,,,Democratic,9,22,31
Winkler,301,Straight Party,,,Democratic,18,25,43
Winkler,401,Straight Party,,,Democratic,40,52,92
Winkler,101,Straight Party,,,Libertarian,3,0,3
Winkler,201,Straight Party,,,Libertarian,2,0,2
Winkler,202,Straight Party,,,Libertarian,1,1,2
Winkler,301,Straight Party,,,Libertarian,0,3,3
Winkler,401,Straight Party,,,Libertarian,2,4,6
Winkler,101,Straight Party,,,Green,0,1,1
Winkler,201,Straight Party,,,Green,0,0,0
Winkler,202,Straight Party,,,Green,0,0,0
Winkler,301,Straight Party,,,Green,1,0,1
Winkler,401,Straight Party,,,Green,1,0,1
Winkler,101,President,,REP,Donald J. Trump,283,132,415
Winkler,201,President,,REP,Donald J. Trump,79,48,127
Winkler,202,President,,REP,Donald J. Trump,151,194,345
Winkler,301,President,,REP,Donald J. Trump,242,152,394
Winkler,401,President,,REP,Donald J. Trump,53,69,122
Winkler,101,President,,DEM,Hillary Clinton,50,46,96
Winkler,201,President,,DEM,Hillary Clinton,23,23,46
Winkler,202,President,,DEM,Hillary Clinton,18,33,51
Winkler,301,President,,DEM,Hillary Clinton,47,44,91
Winkler,401,President,,DEM,Hillary Clinton,60,76,136
Winkler,101,President,,LIB,Gary Johnson,5,9,14
Winkler,201,President,,LIB,Gary Johnson,3,0,3
Winkler,202,President,,LIB,Gary Johnson,2,5,7
Winkler,301,President,,LIB,Gary Johnson,7,8,15
Winkler,401,President,,LIB,Gary Johnson,4,6,10
Winkler,101,President,,GRN,Jill Stein,0,0,0
Winkler,201,President,,GRN,Jill Stein,0,0,0
Winkler,202,President,,GRN,Jill Stein,0,0,0
Winkler,301,President,,GRN,Jill Stein,0,1,1
Winkler,401,President,,GRN,Jill Stein,0,0,0
Winkler,101,President,,,Evan McMullin,0,2,2
Winkler,201,President,,,Evan McMullin,0,0,0
Winkler,202,President,,,Evan McMullin,0,1,1
Winkler,301,President,,,Evan McMullin,0,0,0
Winkler,401,President,,,Evan McMullin,0,0,0
Winkler,101,U.S. House,23,REP,Will Hurd,285,138,423
Winkler,201,U.S. House,23,REP,Will Hurd,81,48,129
Winkler,202,U.S. House,23,REP,Will Hurd,153,188,341
Winkler,301,U.S. House,23,REP,Will Hurd,248,145,393
Winkler,401,U.S. House,23,REP,Will Hurd,54,68,122
Winkler,101,U.S. House,23,DEM,Pete P. Gallego,51,44,95
Winkler,201,U.S. House,23,DEM,Pete P. Gallego,22,16,38
Winkler,202,U.S. House,23,DEM,Pete P. Gallego,18,36,54
Winkler,301,U.S. House,23,DEM,Pete P. Gallego,40,42,82
Winkler,401,U.S. House,23,DEM,Pete P. Gallego,56,73,129
Winkler,101,U.S. House,23,LIB,Ruben S. Corvalan,5,8,13
Winkler,201,U.S. House,23,LIB,Ruben S. Corvalan,1,1,2
Winkler,202,U.S. House,23,LIB,Ruben S. Corvalan,1,6,7
Winkler,301,U.S. House,23,LIB,Ruben S. Corvalan,5,11,16
Winkler,401,U.S. House,23,LIB,Ruben S. Corvalan,4,4,8
Winkler,101,Railroad Commissioner,,REP,Wayne Christian,265,117,382
Winkler,201,Railroad Commissioner,,REP,Wayne Christian,74,45,119
Winkler,202,Railroad Commissioner,,REP,Wayne Christian,139,186,325
Winkler,301,Railroad Commissioner,,REP,Wayne Christian,226,135,361
Winkler,401,Railroad Commissioner,,REP,Wayne Christian,48,58,106
Winkler,101,Railroad Commissioner,,DEM,Grady Yarbrough,56,43,99
Winkler,201,Railroad Commissioner,,DEM,Grady Yarbrough,23,19,42
Winkler,202,Railroad Commissioner,,DEM,Grady Yarbrough,17,26,43
Winkler,301,Railroad Commissioner,,DEM,Grady Yarbrough,46,37,83
Winkler,401,Railroad Commissioner,,DEM,Grady Yarbrough,52,69,121
Winkler,101,Railroad Commissioner,,LIB,Mark Miller,9,9,18
Winkler,201,Railroad Commissioner,,LIB,Mark Miller,1,2,3
Winkler,202,Railroad Commissioner,,LIB,Mark Miller,8,11,19
Winkler,301,Railroad Commissioner,,LIB,Mark Miller,11,11,22
Winkler,401,Railroad Commissioner,,LIB,Mark Miller,2,7,9
Winkler,101,Railroad Commissioner,,GRN,Martina Salinas,6,13,19
Winkler,201,Railroad Commissioner,,GRN,Martina Salinas,4,2,6
Winkler,202,Railroad Commissioner,,GRN,Martina Salinas,2,4,6
Winkler,301,Railroad Commissioner,,GRN,Martina Salinas,4,6,10
Winkler,401,Railroad Commissioner,,GRN,Martina Salinas,7,7,14
Winkler,101,State Representative,81,REP,Brooks Landgraf,294,157,451
Winkler,201,State Representative,81,REP,Brooks Landgraf,86,49,135
Winkler,202,State Representative,81,REP,Brooks Landgraf,153,197,350
Winkler,301,State Representative,81,REP,Brooks Landgraf,261,161,422
Winkler,401,State Representative,81,REP,Brooks Landgraf,66,91,157
