county,precinct,office,district,party,candidate,votes,election_day,early_voting
Lipscomb,,U.S. Senate,,REP,"Bruce Jacobson, Jr.",8,1,4
Lipscomb,,U.S. Senate,,REP,Over Votes,0,0,0
Lipscomb,,U.S. Senate,,REP,Under Votes,0,0,0
Lipscomb,,Registered Voters,,REP,,686,,
Lipscomb,,Ballots Cast,,REP,,95,0,26
Lipscomb,,U.S. Senate,,REP,Geraldine Sam,0,0,0
Lipscomb,,U.S. Senate,,REP,Ted Cruz,73,49,18
Lipscomb,,U.S. Senate,,REP,Stefano de Stefano,1,1,0
Lipscomb,,U.S. Senate,,REP,Mary Miller,5,2,2
Lipscomb,,U.S. House,13,REP,Mac Thornberry,87,54,24
Lipscomb,,Governor,,REP,SECEDE Kilgore,5,5,0
Lipscomb,,Governor,,REP,Greg Abbott,78,46,23
Lipscomb,,Governor,,REP,Barbara Krueger,5,2,2
Lipscomb,,Lieutenant Governor,,REP,Scott Milder,47,28,14
Lipscomb,,Lieutenant Governor,,REP,Dan Patrick,38,22,12
Lipscomb,,Attorney General,,REP,Ken Paxton,81,52,23
Lipscomb,,Comptroller of Public Accounts,,REP,Glenn Hegar,81,51,22
Lipscomb,,Commissioner of the General Land Office,,REP,Davey Edwards,3,2,1
Lipscomb,,Commissioner of the General Land Office,,REP,George P. Bush,59,35,17
Lipscomb,,Commissioner of the General Land Office,,REP,Jerry Patterson,11,7,2
Lipscomb,,Commissioner of the General Land Office,,REP,Rick Range,9,4,4
Lipscomb,,Commissioner of Agriculture,,REP,Sid Miller,40,23,10
Lipscomb,,Commissioner of Agriculture,,REP,Jim Hogan,13,12,1
Lipscomb,,Commissioner of Agriculture,,REP,Trey Blocker,20,6,11
Lipscomb,,Railroad Commissioner,,REP,Weston Martinez,19,9,9
Lipscomb,,Railroad Commissioner,,REP,Christi Craddick,55,34,12
Lipscomb,,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,68,41,19
Lipscomb,,"Justice, Supreme Court, Place 4",,REP,John Devine,68,41,19
Lipscomb,,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,69,42,19
Lipscomb,,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,46,28,13
Lipscomb,,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,23,12,6
Lipscomb,,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,66,41,17
Lipscomb,,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,13,10,1
Lipscomb,,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,25,18,6
Lipscomb,,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,26,10,11
Lipscomb,,State Senator,31,REP,Kel Seliger,67,38,21
Lipscomb,,State Senator,31,REP,Victor Leal,11,7,3
Lipscomb,,State Senator,31,REP,Mike Canon,15,11,2
Lipscomb,,State Representative,88,REP,Ken King,46,25,13
Lipscomb,,State Representative,88,REP,Richard Beyea,30,17,10
Lipscomb,,State Representative,88,REP,Jason Huddleston,16,14,2
Lipscomb,,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Judy Parker,66,41,17
Lipscomb,,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Pat Pirtle,66,40,18
Lipscomb,,"District Judge, 31st Judicial District",,REP,Steven R. Emmert,79,47,23
Lipscomb,,County Judge,,REP,Kevin Wynn,20,9,10
Lipscomb,,County Judge,,REP,Mickey Simpson,53,38,8
Lipscomb,,County Judge,,REP,Janice M. Albracht,9,4,3
Lipscomb,,County Judge,,REP,Andrew T. Copeland,10,5,4
Lipscomb,,District and County Clerk,,REP,Kim Blau,80,49,22
Lipscomb,,County Treasurer,,REP,Kimberly Long,80,48,23
Lipscomb,,Justice of the Peace,,REP,Nancy Shepherd,80,47,24
Lipscomb,,County Chairman,,REP,Diana Hoover,73,45,22
Lipscomb,,U.S. Senate,,DEM,Sema Hernandez,0,0,0
Lipscomb,,U.S. Senate,,DEM,Over Votes,0,0,0
Lipscomb,,U.S. Senate,,DEM,Under Votes,0,0,0
Lipscomb,,Registered Voters,,DEM,,686,,
Lipscomb,,Ballots Cast,,DEM,,95,0,26
Lipscomb,,U.S. Senate,,DEM,Beto O'Rourke,0,0,0
Lipscomb,,U.S. Senate,,DEM,Edward Kimbrough,0,0,0
Lipscomb,,U.S. House,13,DEM,Greg Sagan,0,0,0
Lipscomb,,Governor,,DEM,Joe Mumbach,0,0,0
Lipscomb,,Governor,,DEM,Tom Wakely,0,0,0
Lipscomb,,Governor,,DEM,Jeffrey Payne,0,0,0
Lipscomb,,Governor,,DEM,Andrew White,0,0,0
Lipscomb,,Governor,,DEM,Grady Yarbrough,0,0,0
Lipscomb,,Governor,,DEM,Lupe Valdez,0,0,0
Lipscomb,,Governor,,DEM,James Jolly Clark,0,0,0
Lipscomb,,Governor,,DEM,"Cedric Davis, Sr.",0,0,0
Lipscomb,,Governor,,DEM,Adrian Ocegueda,0,0,0
Lipscomb,,Lieutenant Governor,,DEM,Mike Collier,0,0,0
Lipscomb,,Lieutenant Governor,,DEM,Michael Cooper,0,0,0
Lipscomb,,Attorney General,,DEM,Justin Nelson,0,0,0
Lipscomb,,Comptroller of Public Accounts,,DEM,Joi Chevalier,0,0,0
Lipscomb,,Comptroller of Public Accounts,,DEM,Tim Mahoney,0,0,0
Lipscomb,,Commissioner of the General Land Office,,DEM,Tex Morgan,0,0,0
Lipscomb,,Commissioner of the General Land Office,,DEM,Miguel Suazo,0,0,0
Lipscomb,,Commissioner of Agriculture,,DEM,Kim Olson,0,0,0
Lipscomb,,Railroad Commissioner,,DEM,Chris Spellmon,0,0,0
Lipscomb,,Railroad Commissioner,,DEM,Roman McAllen,0,0,0
Lipscomb,,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,0,0,0
Lipscomb,,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,0,0,0
Lipscomb,,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,0,0,0
Lipscomb,,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,0,0,0
Lipscomb,,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,0,0,0
Lipscomb,,State Representative,88,DEM,Ezekiel Barron,0,0,0
Lipscomb,,County Chairman,,DEM,Virginia Scott,0,0,0
Lipscomb,,Proposition #1 Right to a 21st Century Public Education:,,,Yes,0,0,0
Lipscomb,,Proposition #1 Right to a 21st Century Public Education:,,,No,0,0,0
Lipscomb,,Proposition #2 Student Loan Debt:,,,Yes,0,0,0
Lipscomb,,Proposition #2 Student Loan Debt:,,,No,0,0,0
Lipscomb,,Proposition #3 Right to Healthcare:,,,Yes,0,0,0
Lipscomb,,Proposition #3 Right to Healthcare:,,,No,0,0,0
Lipscomb,,Proposition #4 Right to Economic Security:,,,Yes,0,0,0
Lipscomb,,Proposition #4 Right to Economic Security:,,,No,0,0,0
