county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee
Nueces,1,U.S. Senate,,REP,Over Votes,0,0,0,0
Nueces,1,U.S. Senate,,REP,Under Votes,3,2,1,0
Nueces,1,Registered Voters,,REP,,1248,,,
Nueces,1,U.S. Senate,,REP,Stefano de Stefano,7,4,1,2
Nueces,1,U.S. Senate,,REP,Over Votes,0,0,0,0
Nueces,1,U.S. Senate,,REP,Under Votes,3,2,1,0
Nueces,1,U.S. Senate,,REP,Mary Miller,6,4,2,0
Nueces,1,U.S. Senate,,REP,"Bruce Jacobson, Jr.",6,3,1,2
Nueces,1,U.S. Senate,,REP,Geraldine Sam,1,0,1,0
Nueces,1,U.S. Senate,,REP,Ted Cruz,52,30,15,7
Nueces,1,U.S. House,27,REP,Bech Bruun,47,24,17,6
Nueces,1,U.S. House,27,REP,Eddie Gassman,2,0,1,1
Nueces,1,U.S. House,27,REP,Christopher K. Mapp,6,5,1,0
Nueces,1,U.S. House,27,REP,Michael Cloud,15,10,2,3
Nueces,1,U.S. House,27,REP,Jerry Hall,3,2,0,1
Nueces,1,U.S. House,27,REP,Over Votes,0,0,0,0
Nueces,1,U.S. House,27,REP,Under Votes,1,1,0,0
Nueces,1,U.S. House,27,REP,John Grunwald,1,1,0,0
Nueces,1,Governor,,REP,Barbara Krueger,6,2,4,0
Nueces,1,Governor,,REP,Over Votes,0,0,0,0
Nueces,1,Governor,,REP,Under Votes,1,0,1,0
Nueces,1,Governor,,REP,SECEDE Kilgore,0,0,0,0
Nueces,1,Governor,,REP,Greg Abbott,68,41,16,11
Nueces,1,Lieutenant Governor,,REP,Scott Milder,20,9,7,4
Nueces,1,Lieutenant Governor,,REP,Over Votes,0,0,0,0
Nueces,1,Lieutenant Governor,,REP,Under Votes,1,0,0,1
Nueces,1,Lieutenant Governor,,REP,Dan Patrick,54,34,14,6
Nueces,1,Attorney General,,REP,Ken Paxton,63,36,19,8
Nueces,1,Attorney General,,REP,Over Votes,0,0,0,0
Nueces,1,Attorney General,,REP,Under Votes,12,7,2,3
Nueces,1,Comptroller of Public Accounts,,REP,Glenn Hegar,65,37,18,10
