county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Potter,121,U.S. Senate,,DEM,Beto O'Rourke,3,17,9,29
Potter,121,U.S. Senate,,DEM,Sema Hernandez,0,6,6,12
Potter,121,U.S. Senate,,DEM,Edward Kimbrough,1,3,4,8
Potter,121,U.S. House,13,DEM,Greg Sagan,4,26,19,49
Potter,121,Governor,,DEM,Joe Mumbach,0,3,2,5
Potter,121,Governor,,DEM,James Jolly Clark,0,1,0,1
Potter,121,Governor,,DEM,Andrew White,2,10,2,14
Potter,121,Governor,,DEM,Lupe Valdez,1,6,7,14
Potter,121,Governor,,DEM,Grady Yarbrough,1,2,3,6
Potter,121,Governor,,DEM,Tom Wakely,0,0,3,3
Potter,121,Governor,,DEM,Jeffrey Payne,0,2,0,2
Potter,121,Governor,,DEM,Adrian Ocegueda,0,1,1,2
Potter,121,Governor,,DEM,"Cedric Davis, Sr.",0,0,0,0
Potter,121,Lieutenant Governor,,DEM,Mike Collier,2,18,8,28
Potter,121,Lieutenant Governor,,DEM,Michael Cooper,2,6,10,18
Potter,121,Attorney General,,DEM,Justin Nelson,4,25,19,48
Potter,121,Comptroller of Public Accounts,,DEM,Tim Mahoney,4,11,13,28
Potter,121,Comptroller of Public Accounts,,DEM,Joi Chevalier,0,11,6,17
Potter,121,Commissioner of the General Land Office,,DEM,Tex Morgan,1,7,6,14
Potter,121,Commissioner of the General Land Office,,DEM,Miguel Suazo,2,16,13,31
Potter,121,Commissioner of Agriculture,,DEM,Kim Olson,3,24,19,46
Potter,121,Railroad Commissioner,,DEM,Roman McAllen,2,11,11,24
Potter,121,Railroad Commissioner,,DEM,Chris Spellmon,1,11,8,20
Potter,121,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,4,26,18,48
Potter,121,"Justice, Supreme Court, Place 4",,DEM,R. K. Sandill,4,26,18,48
Potter,121,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,4,26,17,47
Potter,121,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,4,26,18,48
Potter,121,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,4,25,18,47
Potter,121,County Chairman,,DEM,Steve Land,2,14,9,25
Potter,121,County Chairman,,DEM,Gentry Powell,2,9,9,20
Potter,121,Proposition #1 Right to a 21st Century Public Education,,DEM,FOR,3,28,17,48
Potter,121,Proposition #1 Right to a 21st Century Public Education,,DEM,AGAINST,1,0,1,2
Potter,121,Proposition #2 Student Loan Debt,,DEM,FOR,3,24,15,42
Potter,121,Proposition #2 Student Loan Debt,,DEM,AGAINST,2,3,3,8
Potter,121,Proposition #3 Right to Healthcare,,DEM,FOR,4,27,18,49
Potter,121,Proposition #3 Right to Healthcare,,DEM,AGAINST,1,1,1,3
Potter,121,Proposition #4 Right to Economic Security,,DEM,FOR,4,28,19,51
Potter,121,Proposition #4 Right to Economic Security,,DEM,AGAINST,1,0,0,1
Potter,121,Proposition #5 National Job Program,,DEM,FOR,2,26,18,46
Potter,121,Proposition #5 National Job Program,,DEM,AGAINST,2,1,1,4
Potter,121,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment",,DEM,FOR,5,28,18,51
Potter,121,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment",,DEM,AGAINST,0,0,0,0
Potter,121,Proposition #7 Right to Dignity & Respect,,DEM,FOR,5,28,19,52
Potter,121,Proposition #7 Right to Dignity & Respect,,DEM,AGAINST,0,0,0,0
Potter,121,Proposition #8 Right to Housing,,DEM,FOR,0,28,16,44
