county,office,district,candidate,party,precinct,precinct_name,early_voting,election_day,votes
Sterling,Lieutenant Governor,,Michael  Cooper,DEM,1,community center,0,3,3
Sterling,Lieutenant Governor,,Michael Edward Collier,DEM,1,community center,0,1,1
Sterling,Lieutenant Governor,,Michael  Cooper,DEM,2,court house,0,1,1
Sterling,Lieutenant Governor,,Michael Edward Collier,DEM,2,court house,0,0,0
Sterling,Lieutenant Governor,,Michael  Cooper,DEM,3,sterling library,0,1,1
Sterling,Lieutenant Governor,,Michael Edward Collier,DEM,3,sterling library,0,0,0
Sterling,Lieutenant Governor,,Michael  Cooper,DEM,4,sterling depot,0,1,1
Sterling,Lieutenant Governor,,Michael Edward Collier,DEM,4,sterling depot,0,0,0
Sterling,Comptroller of Public Accounts,,Joi Lynne Chevalier,DEM,1,community center,0,0,0
Sterling,Comptroller of Public Accounts,,Timothy Raymond Mahoney,DEM,1,community center,0,4,4
Sterling,Comptroller of Public Accounts,,Joi Lynne Chevalier,DEM,2,court house,0,1,1
Sterling,Comptroller of Public Accounts,,Timothy Raymond Mahoney,DEM,2,court house,0,0,0
Sterling,Comptroller of Public Accounts,,Joi Lynne Chevalier,DEM,3,sterling library,0,0,0
Sterling,Comptroller of Public Accounts,,Timothy Raymond Mahoney,DEM,3,sterling library,0,1,1
Sterling,Comptroller of Public Accounts,,Joi Lynne Chevalier,DEM,4,sterling depot,0,0,0
Sterling,Comptroller of Public Accounts,,Timothy Raymond Mahoney,DEM,4,sterling depot,0,1,1
Sterling,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,1,community center,0,4,4
Sterling,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,2,court house,0,1,1
Sterling,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,3,sterling library,0,1,1
Sterling,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,4,sterling depot,0,1,1
Sterling,U. S. Senator,,Edward Wayne Kimbrough,DEM,1,community center,0,2,2
Sterling,U. S. Senator,,Irasema Ramirez-Hernandez,DEM,1,community center,0,1,1
Sterling,U. S. Senator,,Robert Francis O'Rourke,DEM,1,community center,0,1,1
Sterling,U. S. Senator,,Edward Wayne Kimbrough,DEM,2,court house,0,0,0
Sterling,U. S. Senator,,Irasema Ramirez-Hernandez,DEM,2,court house,0,0,0
Sterling,U. S. Senator,,Robert Francis O'Rourke,DEM,2,court house,0,1,1
Sterling,U. S. Senator,,Edward Wayne Kimbrough,DEM,3,sterling library,0,0,0
Sterling,U. S. Senator,,Irasema Ramirez-Hernandez,DEM,3,sterling library,0,0,0
Sterling,U. S. Senator,,Robert Francis O'Rourke,DEM,3,sterling library,0,1,1
Sterling,U. S. Senator,,Edward Wayne Kimbrough,DEM,4,sterling depot,0,0,0
Sterling,U. S. Senator,,Irasema Ramirez-Hernandez,DEM,4,sterling depot,0,0,0
Sterling,U. S. Senator,,Robert Francis O'Rourke,DEM,4,sterling depot,0,1,1
Sterling,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,1,community center,0,2,2
Sterling,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,1,community center,0,2,2
Sterling,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,2,court house,0,0,0
Sterling,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,2,court house,0,1,1
Sterling,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,3,sterling library,0,1,1
Sterling,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,3,sterling library,0,0,0
Sterling,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,4,sterling depot,0,0,0
Sterling,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,4,sterling depot,0,1,1
Sterling,Governor,,Adrian Ocegueda,DEM,1,community center,0,0,0
Sterling,Governor,,"Cedric Wayne Davis, Sr.",DEM,1,community center,0,0,0
Sterling,Governor,,Grady Yarbrough,DEM,1,community center,0,1,1
Sterling,Governor,,Guadalupe Valdez,DEM,1,community center,0,2,2
Sterling,Governor,,James Jolly Clark,DEM,1,community center,0,0,0
Sterling,Governor,,Jeffrey Alan Payne,DEM,1,community center,0,1,1
Sterling,Governor,,Joseph William Mumbach,DEM,1,community center,0,0,0
Sterling,Governor,,Robert Andrew  White,DEM,1,community center,0,0,0
Sterling,Governor,,Thomas John Wakely,DEM,1,community center,0,0,0
Sterling,Governor,,Adrian Ocegueda,DEM,2,court house,0,0,0
Sterling,Governor,,"Cedric Wayne Davis, Sr.",DEM,2,court house,0,0,0
Sterling,Governor,,Grady Yarbrough,DEM,2,court house,0,0,0
Sterling,Governor,,Guadalupe Valdez,DEM,2,court house,0,1,1
Sterling,Governor,,James Jolly Clark,DEM,2,court house,0,0,0
Sterling,Governor,,Jeffrey Alan Payne,DEM,2,court house,0,0,0
Sterling,Governor,,Joseph William Mumbach,DEM,2,court house,0,0,0
Sterling,Governor,,Robert Andrew  White,DEM,2,court house,0,0,0
Sterling,Governor,,Thomas John Wakely,DEM,2,court house,0,0,0
Sterling,Governor,,Adrian Ocegueda,DEM,3,sterling library,0,0,0
