county,precinct,office,district,party,candidate,votes,election_day,early_voting
Hardin,Precinct 1 - ISD,Ballots Cast,,,,,,816
Hardin,Precinct 1 - ISD,Straight Party,,REP,,360,78,282
Hardin,Precinct 1 - ISD,Straight Party,,DEM,,156,58,98
Hardin,Precinct 1 - ISD,Straight Party,,LIB,,2,1,1
Hardin,Precinct 1 - ISD,U.S. Senate,,REP,Ted Cruz,569,127,442
Hardin,Precinct 1 - ISD,U.S. Senate,,DEM,Beto O'Rourke,241,76,165
Hardin,Precinct 1 - ISD,U.S. Senate,,LIB,Neal M Dikeman,2,0,2
Hardin,Precinct 1 - ISD,U.S. House,36,REP,Brian Babin,579,127,452
Hardin,Precinct 1 - ISD,U.S. House,36,DEM,Dayna Steele,229,73,156
Hardin,Precinct 1 - ISD,Governor ,,REP,Greg Abbott,589,129,460
Hardin,Precinct 1 - ISD,Governor ,,DEM,Lupe Valdez,213,70,143
Hardin,Precinct 1 - ISD,Governor ,,LIB,Mark Jay Tippetts,5,1,4
Hardin,Precinct 1 - ISD,Lieutenant Governor,,REP,Dan Patrick,555,125,430
Hardin,Precinct 1 - ISD,Lieutenant Governor,,DEM,Mike Collier,238,73,165
Hardin,Precinct 1 - ISD,Lieutenant Governor,,LIB,Kerry Douglas McKennon,12,3,9
Hardin,Precinct 1 - ISD,Attorney General,,REP,Ken Paxton,550,122,428
Hardin,Precinct 1 - ISD,Attorney General,,DEM,Justin Nelson,234,72,162
Hardin,Precinct 1 - ISD,Attorney General,,LIB,Michael Ray Harris,19,6,13
Hardin,Precinct 1 - ISD,Comptroller of Public Accounts,,REP,Glenn Hegar,552,123,429
Hardin,Precinct 1 - ISD,Comptroller of Public Accounts,,DEM,Joi Chevalier,229,72,157
Hardin,Precinct 1 - ISD,Comptroller of Public Accounts,,LIB,Ben Sanders,16,3,13
Hardin,Precinct 1 - ISD,Commissioner of the General Land Office,,REP,George P Bush,555,121,434
