county,precinct,office,district,candidate,party,early_voting,election_day,votes
Jack,1,Straight Party,,Republican Party    REP,REP,284,106,390
Jack,1,Straight Party,,Democratic Party   DEM,DEM,17,19,36
Jack,1,Straight Party,,Libertarian Party    LIB,LIB,0,2,2
Jack,1,U.S. Senate,,Ted Cruz,REP,371,133,504
Jack,1,U.S. Senate,,Beto O'Rourke,DEM,40,27,67
Jack,1,U.S. Senate,,Neal M. Dikeman,LIB,0,3,3
Jack,1,U.S. House,13,Mac Thornberry,REP,375,133,508
Jack,1,U.S. House,13,Greg Sagan,DEM,32,24,56
Jack,1,U.S. House,13,Calvin DeWeese,LIB,1,5,6
Jack,1,Governor,,Greg Abbott,REP,378,139,517
Jack,1,Governor,,Lupe Valdez,DEM,33,22,55
Jack,1,Governor,,Mark Jay Tippetts,LIB,1,4,5
Jack,1,Lieutenant Governor,,Dan Patrick,REP,347,129,476
Jack,1,Lieutenant Governor,,Mike Collier,DEM,58,29,87
Jack,1,Lieutenant Governor,,Kerry Douglas McKennon,LIB,6,3,9
Jack,1,Attorney General,,Ken Paxton,REP,359,129,488
Jack,1,Attorney General,,Justin Nelson,DEM,50,28,78
Jack,1,Attorney General,,Michael Ray Harris,LIB,2,3,5
Jack,1,Comptroller of Public Accounts,,Glenn Hegar,REP,366,133,499
Jack,1,Comptroller of Public Accounts,,Joi Chevalier,DEM,36,20,56
Jack,1,Comptroller of Public Accounts,,Ben Sanders,LIB,2,6,8
Jack,1,"Commissioner of the General Land Office",,George P. Bush,REP,367,132,499
Jack,1,"Commissioner of the General Land Office",,Miguel Suazo,DEM,35,23,58
Jack,1,"Commissioner of the General Land Office",,Matt Pina,LIB,5,4,9
Jack,1,Commissioner of Agriculture,,Sid Miller,REP,363,124,487
Jack,1,Commissioner of Agriculture,,Kim Olson,DEM,40,31,71
Jack,1,Commissioner of Agriculture,,Richard Carpenter,LIB,1,6,7
Jack,1,Railroad Commissioner,,Christi Craddick,REP,367,131,498
Jack,1,Railroad Commissioner,,Roman McAllen,DEM,34,25,59
Jack,1,Railroad Commissioner,,Mike Wright,LIB,3,4,7
Jack,1,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,363,131,494
Jack,1,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,39,29,68
Jack,1,"Justice, Supreme Court, Place 4",,John Devine,REP,363,131,494
Jack,1,"Justice, Supreme Court, Place 4",,R.K. Sandill,DEM,35,29,64
Jack,1,"Justice, Supreme Court, Place 6",,Jeff Brown,REP,367,134,501
Jack,1,"Justice, Supreme Court, Place 6",,Kathy Cheng,DEM,34,26,60
Jack,1,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,361,131,492
Jack,1,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,35,23,58
Jack,1,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,3,5,8
Jack,1,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,362,131,493
Jack,1,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,36,29,65
Jack,1,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,REP,370,136,506
Jack,1,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,LIB,19,14,33
Jack,1,State Senate,30,Pat Fallon,REP,363,132,495
Jack,1,State Senate,30,Kevin Lopez,DEM,40,27,67
Jack,1,State Representative,68,Drew Springer,REP,385,144,529
Jack,1,"Chief Justice, 2nd Court of Appeals District",,Bonnie Sudderth,REP,381,145,526
Jack,1,"Justice, 2nd Court of Appeals District, Place No. 4",,Wade Birdwell,REP,379,141,520
Jack,1,"Justice, 2nd Court of Appeals District, Place No. 5",,Dabney Bassel,REP,366,129,495
Jack,1,"Justice, 2nd Court of Appeals District, Place No. 5",,Delonia A. Watson,DEM,32,30,62
Jack,1,"Justice, 2nd Court of Appeals District, Place No. 6",,Mark Pittman,REP,378,140,518
Jack,1,"District Judge, 271st Judicial District",,Brock R. Smith,REP,373,142,515
Jack,1,"Directors, Place 2",,Lori McBrayer,,223,90,313
Jack,1,"Directors, Place 2",,Joe Logan,,89,43,132
Jack,1,"Directors, Place 4",,Mark A. Maples,,273,119,392
Jack,2,Straight Party,,Republican Party    REP,REP,198,217,415
Jack,2,Straight Party,,Democratic Party   DEM,DEM,23,17,40
Jack,2,Straight Party,,Libertarian Party    LIB,LIB,0,2,2
Jack,2,U.S. Senate,,Ted Cruz,REP,262,266,528
Jack,2,U.S. Senate,,Beto O'Rourke,DEM,37,25,62
Jack,2,U.S. Senate,,Neal M. Dikeman,LIB,1,2,3
Jack,2,U.S. House,13,Mac Thornberry,REP,261,266,527
Jack,2,U.S. House,13,Greg Sagan,DEM,35,23,58
Jack,2,U.S. House,13,Calvin DeWeese,LIB,0,3,3
Jack,2,Governor,,Greg Abbott,REP,263,269,532
Jack,2,Governor,,Lupe Valdez,DEM,33,20,53
Jack,2,Governor,,Mark Jay Tippetts,LIB,4,3,7
Jack,2,Lieutenant Governor,,Dan Patrick,REP,257,260,517
Jack,2,Lieutenant Governor,,Mike Collier,DEM,42,25,67
Jack,2,Lieutenant Governor,,Kerry Douglas McKennon,LIB,1,6,7
Jack,2,Attorney General,,Ken Paxton,REP,252,257,509
Jack,2,Attorney General,,Justin Nelson,DEM,42,30,72
Jack,2,Attorney General,,Michael Ray Harris,LIB,2,5,7
Jack,2,Comptroller of Public Accounts,,Glenn Hegar,REP,261,263,524
Jack,2,Comptroller of Public Accounts,,Joi Chevalier,DEM,34,21,55
Jack,2,Comptroller of Public Accounts,,Ben Sanders,LIB,3,7,10
Jack,2,"Commissioner of the General Land Office",,George P. Bush,REP,261,265,526
Jack,2,"Commissioner of the General Land Office",,Miguel Suazo,DEM,34,19,53
Jack,2,"Commissioner of the General Land Office",,Matt Pina,LIB,4,6,10
Jack,2,Commissioner of Agriculture,,Sid Miller,REP,254,253,507
Jack,2,Commissioner of Agriculture,,Kim Olson,DEM,41,29,70
Jack,2,Commissioner of Agriculture,,Richard Carpenter,LIB,3,5,8
Jack,2,Railroad Commissioner,,Christi Craddick,REP,260,261,521
Jack,2,Railroad Commissioner,,Roman McAllen,DEM,37,20,57
Jack,2,Railroad Commissioner,,Mike Wright,LIB,1,6,7
Jack,2,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,258,262,520
Jack,2,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,40,25,65
Jack,2,"Justice, Supreme Court, Place 4",,John Devine,REP,259,263,522
Jack,2,"Justice, Supreme Court, Place 4",,R.K. Sandill,DEM,37,23,60
Jack,2,"Justice, Supreme Court, Place 6",,Jeff Brown,REP,261,264,525
Jack,2,"Justice, Supreme Court, Place 6",,Kathy Cheng,DEM,37,20,57
Jack,2,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,260,261,521
Jack,2,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,36,22,58
Jack,2,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,0,5,5
Jack,2,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,259,263,522
Jack,2,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,38,21,59
Jack,2,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,REP,264,264,528
Jack,2,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,LIB,14,17,31
Jack,2,State Senate,30,Pat Fallon,REP,254,265,519
Jack,2,State Senate,30,Kevin Lopez,DEM,38,23,61
Jack,2,State Representative,68,Drew Springer,REP,265,273,538
Jack,2,"Chief Justice, 2nd Court of Appeals District",,Bonnie Sudderth,REP,263,270,533
Jack,2,"Justice, 2nd Court of Appeals District, Place No. 4",,Wade Birdwell,REP,263,266,529
Jack,2,"Justice, 2nd Court of Appeals District, Place No. 5",,Dabney Bassel,REP,254,260,514
Jack,2,"Justice, 2nd Court of Appeals District, Place No. 5",,Delonia A. Watson,DEM,38,24,62
Jack,2,"Justice, 2nd Court of Appeals District, Place No. 6",,Mark Pittman,REP,264,268,532
Jack,2,"District Judge, 271st Judicial District",,Brock R. Smith,REP,265,269,534
Jack,2,"Directors, Place 2",,Lori McBrayer,,110,128,238
Jack,2,"Directors, Place 2",,Joe Logan,,50,54,104
Jack,2,"Directors, Place 4",,Mark A. Maples,,145,164,309
Jack,3,Straight Party,,Republican Party    REP,REP,48,17,65
Jack,3,Straight Party,,Democratic Party   DEM,DEM,5,2,7
Jack,3,Straight Party,,Libertarian Party    LIB,LIB,0,0,0
Jack,3,U.S. Senate,,Ted Cruz,REP,69,23,92
Jack,3,U.S. Senate,,Beto O'Rourke,DEM,8,3,11
Jack,3,U.S. Senate,,Neal M. Dikeman,LIB,1,0,1
Jack,3,U.S. House,13,Mac Thornberry,REP,69,22,91
Jack,3,U.S. House,13,Greg Sagan,DEM,8,3,11
Jack,3,U.S. House,13,Calvin DeWeese,LIB,0,1,1
Jack,3,Governor,,Greg Abbott,REP,68,23,91
Jack,3,Governor,,Lupe Valdez,DEM,6,2,8
Jack,3,Governor,,Mark Jay Tippetts,LIB,2,1,3
Jack,3,Lieutenant Governor,,Dan Patrick,REP,66,22,88
Jack,3,Lieutenant Governor,,Mike Collier,DEM,10,3,13
Jack,3,Lieutenant Governor,,Kerry Douglas McKennon,LIB,1,1,2
Jack,3,Attorney General,,Ken Paxton,REP,66,20,86
Jack,3,Attorney General,,Justin Nelson,DEM,10,3,13
Jack,3,Attorney General,,Michael Ray Harris,LIB,1,1,2
Jack,3,Comptroller of Public Accounts,,Glenn Hegar,REP,65,23,88
Jack,3,Comptroller of Public Accounts,,Joi Chevalier,DEM,6,2,8
Jack,3,Comptroller of Public Accounts,,Ben Sanders,LIB,3,1,4
Jack,3,"Commissioner of the General Land Office",,George P. Bush,REP,66,22,88
Jack,3,"Commissioner of the General Land Office",,Miguel Suazo,DEM,9,2,11
Jack,3,"Commissioner of the General Land Office",,Matt Pina,LIB,1,1,2
Jack,3,Commissioner of Agriculture,,Sid Miller,REP,66,23,89
Jack,3,Commissioner of Agriculture,,Kim Olson,DEM,8,2,10
Jack,3,Commissioner of Agriculture,,Richard Carpenter,LIB,2,1,3
Jack,3,Railroad Commissioner,,Christi Craddick,REP,67,22,89
Jack,3,Railroad Commissioner,,Roman McAllen,DEM,7,2,9
Jack,3,Railroad Commissioner,,Mike Wright,LIB,1,1,2
Jack,3,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,69,23,92
Jack,3,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,7,2,9
Jack,3,"Justice, Supreme Court, Place 4",,John Devine,REP,66,22,88
Jack,3,"Justice, Supreme Court, Place 4",,R.K. Sandill,DEM,7,2,9
Jack,3,"Justice, Supreme Court, Place 6",,Jeff Brown,REP,67,24,91
Jack,3,"Justice, Supreme Court, Place 6",,Kathy Cheng,DEM,7,2,9
Jack,3,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,67,22,89
Jack,3,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,8,2,10
Jack,3,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,1,1,2
Jack,3,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,68,22,90
Jack,3,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,7,3,10
Jack,3,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,REP,69,22,91
Jack,3,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,LIB,3,2,5
Jack,3,State Senate,30,Pat Fallon,REP,68,24,92
Jack,3,State Senate,30,Kevin Lopez,DEM,7,2,9
Jack,3,State Representative,68,Drew Springer,REP,73,24,97
Jack,3,"Chief Justice, 2nd Court of Appeals District",,Bonnie Sudderth,REP,70,22,92
Jack,3,"Justice, 2nd Court of Appeals District, Place No. 4",,Wade Birdwell,REP,70,23,93
Jack,3,"Justice, 2nd Court of Appeals District, Place No. 5",,Dabney Bassel,REP,67,22,89
Jack,3,"Justice, 2nd Court of Appeals District, Place No. 5",,Delonia A. Watson,DEM,7,2,9
Jack,3,"Justice, 2nd Court of Appeals District, Place No. 6",,Mark Pittman,REP,70,23,93
Jack,3,"District Judge, 271st Judicial District",,Brock R. Smith,REP,70,21,91
Jack,3,"Directors, Place 2",,Lori McBrayer,,49,12,61
Jack,3,"Directors, Place 2",,Joe Logan,,13,10,23
