county,office,district,candidate,party,precinct,early_voting,election_day,votes
Jeff Davis,Railroad Commissioner,,Christi Craddick,REP,1,170,36,206
Jeff Davis,Railroad Commissioner,,Mike Wright,LIB,1,17,8,25
Jeff Davis,Railroad Commissioner,,Roman McAllen,DEM,1,116,15,131
Jeff Davis,Railroad Commissioner,,Christi Craddick,REP,2,90,25,115
Jeff Davis,Railroad Commissioner,,Mike Wright,LIB,2,8,6,14
Jeff Davis,Railroad Commissioner,,Roman McAllen,DEM,2,53,35,88
Jeff Davis,Railroad Commissioner,,Christi Craddick,REP,3,134,34,168
Jeff Davis,Railroad Commissioner,,Mike Wright,LIB,3,8,5,13
Jeff Davis,Railroad Commissioner,,Roman McAllen,DEM,3,58,35,93
Jeff Davis,Railroad Commissioner,,Christi Craddick,REP,4,54,23,77
Jeff Davis,Railroad Commissioner,,Mike Wright,LIB,4,2,3,5
Jeff Davis,Railroad Commissioner,,Roman McAllen,DEM,4,14,20,34
Jeff Davis,Railroad Commissioner,,Christi Craddick,REP,5,78,18,96
Jeff Davis,Railroad Commissioner,,Mike Wright,LIB,5,8,5,13
Jeff Davis,Railroad Commissioner,,Roman McAllen,DEM,5,40,16,56
Jeff Davis,Attorney General,,Justin Nelson,DEM,1,141,20,161
Jeff Davis,Attorney General,,Ken Paxton,REP,1,151,32,183
Jeff Davis,Attorney General,,Michael Ray Harris,LIB,1,13,7,20
Jeff Davis,Attorney General,,Justin Nelson,DEM,2,63,30,93
Jeff Davis,Attorney General,,Ken Paxton,REP,2,93,33,126
Jeff Davis,Attorney General,,Michael Ray Harris,LIB,2,1,3,4
Jeff Davis,Attorney General,,Justin Nelson,DEM,3,63,39,102
Jeff Davis,Attorney General,,Ken Paxton,REP,3,133,32,165
Jeff Davis,Attorney General,,Michael Ray Harris,LIB,3,7,5,12
Jeff Davis,Attorney General,,Justin Nelson,DEM,4,16,25,41
Jeff Davis,Attorney General,,Ken Paxton,REP,4,55,19,74
Jeff Davis,Attorney General,,Michael Ray Harris,LIB,4,0,2,2
Jeff Davis,Attorney General,,Justin Nelson,DEM,5,49,13,62
Jeff Davis,Attorney General,,Ken Paxton,REP,5,75,25,100
Jeff Davis,Attorney General,,Michael Ray Harris,LIB,5,3,1,4
Jeff Davis,Comptroller of Public Accounts,,Ben Sanders,LIB,1,19,8,27
Jeff Davis,Comptroller of Public Accounts,,Glenn Hegar,REP,1,163,34,197
Jeff Davis,Comptroller of Public Accounts,,Joi Chevalier,DEM,1,117,14,131
Jeff Davis,Comptroller of Public Accounts,,Ben Sanders,LIB,2,6,4,10
Jeff Davis,Comptroller of Public Accounts,,Glenn Hegar,REP,2,89,32,121
Jeff Davis,Comptroller of Public Accounts,,Joi Chevalier,DEM,2,54,31,85
Jeff Davis,Comptroller of Public Accounts,,Ben Sanders,LIB,3,8,5,13
Jeff Davis,Comptroller of Public Accounts,,Glenn Hegar,REP,3,138,33,171
Jeff Davis,Comptroller of Public Accounts,,Joi Chevalier,DEM,3,52,36,88
Jeff Davis,Comptroller of Public Accounts,,Ben Sanders,LIB,4,1,2,3
Jeff Davis,Comptroller of Public Accounts,,Glenn Hegar,REP,4,57,21,78
Jeff Davis,Comptroller of Public Accounts,,Joi Chevalier,DEM,4,12,23,35
Jeff Davis,Comptroller of Public Accounts,,Ben Sanders,LIB,5,6,2,8
Jeff Davis,Comptroller of Public Accounts,,Glenn Hegar,REP,5,74,25,99
Jeff Davis,Comptroller of Public Accounts,,Joi Chevalier,DEM,5,45,12,57
Jeff Davis,Commissioner of the General Land Office,,George P. Bush,REP,1,150,34,184
Jeff Davis,Commissioner of the General Land Office,,Matt Pina,LIB,1,17,8,25
Jeff Davis,Commissioner of the General Land Office,,Miguel Suazo,DEM,1,133,16,149
Jeff Davis,Commissioner of the General Land Office,,George P. Bush,REP,2,95,32,127
Jeff Davis,Commissioner of the General Land Office,,Matt Pina,LIB,2,7,4,11
Jeff Davis,Commissioner of the General Land Office,,Miguel Suazo,DEM,2,54,31,85
Jeff Davis,Commissioner of the General Land Office,,George P. Bush,REP,3,128,29,157
Jeff Davis,Commissioner of the General Land Office,,Matt Pina,LIB,3,9,7,16
Jeff Davis,Commissioner of the General Land Office,,Miguel Suazo,DEM,3,62,38,100
Jeff Davis,Commissioner of the General Land Office,,George P. Bush,REP,4,56,24,80
Jeff Davis,Commissioner of the General Land Office,,Matt Pina,LIB,4,2,4,6
Jeff Davis,Commissioner of the General Land Office,,Miguel Suazo,DEM,4,12,18,30
Jeff Davis,Commissioner of the General Land Office,,George P. Bush,REP,5,75,21,96
Jeff Davis,Commissioner of the General Land Office,,Matt Pina,LIB,5,10,2,12
Jeff Davis,Commissioner of the General Land Office,,Miguel Suazo,DEM,5,40,16,56
Jeff Davis,State Representative,74,Poncho Nev‡rez,DEM,1,150,29,179
Jeff Davis,State Representative,74,Poncho Nev‡rez,DEM,2,80,41,121
Jeff Davis,State Representative,74,Poncho Nev‡rez,DEM,3,81,51,132
Jeff Davis,State Representative,74,Poncho Nev‡rez,DEM,4,24,26,50
Jeff Davis,State Representative,74,Poncho Nev‡rez,DEM,5,57,20,77
Jeff Davis,U.S. House,23,Gina Ortiz Jones,DEM,1,135,18,153
Jeff Davis,U.S. House,23,Ruben Corvalan,LIB,1,4,5,9
Jeff Davis,U.S. House,23,Will Hurd,REP,1,175,37,212
Jeff Davis,U.S. House,23,Gina Ortiz Jones,DEM,2,67,33,100
Jeff Davis,U.S. House,23,Ruben Corvalan,LIB,2,0,2,2
Jeff Davis,U.S. House,23,Will Hurd,REP,2,93,36,129
Jeff Davis,U.S. House,23,Gina Ortiz Jones,DEM,3,56,39,95
Jeff Davis,U.S. House,23,Ruben Corvalan,LIB,3,1,2,3
Jeff Davis,U.S. House,23,Will Hurd,REP,3,148,36,184
Jeff Davis,U.S. House,23,Gina Ortiz Jones,DEM,4,13,23,36
Jeff Davis,U.S. House,23,Ruben Corvalan,LIB,4,0,0,0
Jeff Davis,U.S. House,23,Will Hurd,REP,4,58,23,81
Jeff Davis,U.S. House,23,Gina Ortiz Jones,DEM,5,48,16,64
Jeff Davis,U.S. House,23,Ruben Corvalan,LIB,5,5,1,6
Jeff Davis,U.S. House,23,Will Hurd,REP,5,76,24,100
Jeff Davis,Governor,,Greg Abbott,REP,1,168,40,208
Jeff Davis,Governor,,Lupe Valdez,DEM,1,127,14,141
Jeff Davis,Governor,,Mark Jay Tippetts,LIB,1,14,6,20
Jeff Davis,Governor,,Greg Abbott,REP,2,100,36,136
Jeff Davis,Governor,,Lupe Valdez,DEM,2,57,31,88
Jeff Davis,Governor,,Mark Jay Tippetts,LIB,2,3,3,6
Jeff Davis,Governor,,Greg Abbott,REP,3,146,41,187
Jeff Davis,Governor,,Lupe Valdez,DEM,3,55,33,88
Jeff Davis,Governor,,Mark Jay Tippetts,LIB,3,2,3,5
Jeff Davis,Governor,,Greg Abbott,REP,4,57,25,82
Jeff Davis,Governor,,Lupe Valdez,DEM,4,13,19,32
Jeff Davis,Governor,,Mark Jay Tippetts,LIB,4,1,2,3
Jeff Davis,Governor,,Greg Abbott,REP,5,80,26,106
Jeff Davis,Governor,,Lupe Valdez,DEM,5,43,15,58
Jeff Davis,Governor,,Mark Jay Tippetts,LIB,5,5,0,5
Jeff Davis,Lieutenant Governor,,Dan Patrick,REP,1,144,29,173
Jeff Davis,Lieutenant Governor,,Kerry Douglas McKennon,LIB,1,13,8,21
Jeff Davis,Lieutenant Governor,,Mike Collier,DEM,1,154,22,176
Jeff Davis,Lieutenant Governor,,Dan Patrick,REP,2,85,32,117
Jeff Davis,Lieutenant Governor,,Kerry Douglas McKennon,LIB,2,5,3,8
Jeff Davis,Lieutenant Governor,,Mike Collier,DEM,2,68,32,100
Jeff Davis,Lieutenant Governor,,Dan Patrick,REP,3,113,32,145
Jeff Davis,Lieutenant Governor,,Kerry Douglas McKennon,LIB,3,5,5,10
Jeff Davis,Lieutenant Governor,,Mike Collier,DEM,3,85,39,124
Jeff Davis,Lieutenant Governor,,Dan Patrick,REP,4,52,17,69
Jeff Davis,Lieutenant Governor,,Kerry Douglas McKennon,LIB,4,2,5,7
Jeff Davis,Lieutenant Governor,,Mike Collier,DEM,4,16,24,40
Jeff Davis,Lieutenant Governor,,Dan Patrick,REP,5,72,24,96
Jeff Davis,Lieutenant Governor,,Kerry Douglas McKennon,LIB,5,4,0,4
Jeff Davis,Lieutenant Governor,,Mike Collier,DEM,5,52,17,69
Jeff Davis,Commissioner of Agriculture,,Kim Olson,DEM,1,137,20,157
Jeff Davis,Commissioner of Agriculture,,Richard Carpenter,LIB,1,15,6,21
Jeff Davis,Commissioner of Agriculture,,Sid Miller,REP,1,154,33,187
Jeff Davis,Commissioner of Agriculture,,Kim Olson,DEM,2,59,33,92
Jeff Davis,Commissioner of Agriculture,,Richard Carpenter,LIB,2,5,6,11
Jeff Davis,Commissioner of Agriculture,,Sid Miller,REP,2,86,26,112
Jeff Davis,Commissioner of Agriculture,,Kim Olson,DEM,3,58,37,95
Jeff Davis,Commissioner of Agriculture,,Richard Carpenter,LIB,3,8,4,12
Jeff Davis,Commissioner of Agriculture,,Sid Miller,REP,3,137,33,170
Jeff Davis,Commissioner of Agriculture,,Kim Olson,DEM,4,15,24,39
Jeff Davis,Commissioner of Agriculture,,Richard Carpenter,LIB,4,2,3,5
Jeff Davis,Commissioner of Agriculture,,Sid Miller,REP,4,51,19,70
Jeff Davis,Commissioner of Agriculture,,Kim Olson,DEM,5,45,14,59
Jeff Davis,Commissioner of Agriculture,,Richard Carpenter,LIB,5,3,4,7
Jeff Davis,Commissioner of Agriculture,,Sid Miller,REP,5,75,21,96
Jeff Davis,U.S. Senate,,Beto O'Rourke,DEM,1,138,20,158
Jeff Davis,U.S. Senate,,Neal M. Dikeman,LIB,1,8,6,14
Jeff Davis,U.S. Senate,,Ted Cruz,REP,1,169,33,202
Jeff Davis,U.S. Senate,,Beto O'Rourke,DEM,2,69,34,103
Jeff Davis,U.S. Senate,,Neal M. Dikeman,LIB,2,0,1,1
Jeff Davis,U.S. Senate,,Ted Cruz,REP,2,92,36,128
Jeff Davis,U.S. Senate,,Beto O'Rourke,DEM,3,60,40,100
Jeff Davis,U.S. Senate,,Neal M. Dikeman,LIB,3,4,2,6
Jeff Davis,U.S. Senate,,Ted Cruz,REP,3,141,36,177
Jeff Davis,U.S. Senate,,Beto O'Rourke,DEM,4,16,22,38
Jeff Davis,U.S. Senate,,Neal M. Dikeman,LIB,4,1,4,5
Jeff Davis,U.S. Senate,,Ted Cruz,REP,4,54,20,74
Jeff Davis,U.S. Senate,,Beto O'Rourke,DEM,5,52,15,67
Jeff Davis,U.S. Senate,,Neal M. Dikeman,LIB,5,1,1,2
Jeff Davis,U.S. Senate,,Ted Cruz,REP,5,77,25,102
