county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail
Lamb,1 - Olton Community ,Ballots Cast,,,,428,350,63,15
Lamb,2 - Lamb County Ag Center ,Ballots Cast,,,,185,77,92,16
Lamb,3 - Earth Community ,Ballots Cast,,,,317,251,49,17
Lamb,4 - Sudan Community ,Ballots Cast,,,,39,28,10,1
Lamb,5 - Olton Community ,Ballots Cast,,,,195,134,44,17
Lamb,6 - Lamb County Ag Center ,Ballots Cast,,,,160,63,75,22
Lamb,7 & 8 - Lamb County Ag,Ballots Cast,,,,1030,332,630,68
Lamb,9 - Lamb County Ag Center ,Ballots Cast,,,,456,136,212,108
Lamb,10 - Amherst Community ,Ballots Cast,,,,200,106,74,20
Lamb,11 - Sudan Community ,Ballots Cast,,,,363,248,92,23
Lamb,12 - Springlake 1st Bapt,Ballots Cast,,,,105,66,37,2
Lamb,1 - Olton Community ,Straight Party,,REP,Republican Party,152,120,20,12
Lamb,2 - Lamb County Ag Center ,Straight Party,,REP,Republican Party,71,28,36,7
Lamb,3 - Earth Community ,Straight Party,,REP,Republican Party,120,86,24,10
Lamb,4 - Sudan Community ,Straight Party,,REP,Republican Party,17,9,7,1
Lamb,5 - Olton Community ,Straight Party,,REP,Republican Party,107,67,31,9
Lamb,6 - Lamb County Ag Center ,Straight Party,,REP,Republican Party,81,26,39,16
Lamb,7 & 8 - Lamb County Ag,Straight Party,,REP,Republican Party,551,152,365,34
Lamb,9 - Lamb County Ag Center ,Straight Party,,REP,Republican Party,192,49,114,29
Lamb,10 - Amherst Community ,Straight Party,,REP,Republican Party,127,60,55,12
Lamb,11 - Sudan Community ,Straight Party,,REP  .,Republican Party,170,113,40,17
Lamb,12 - Springlake 1st Bapt,Straight Party,,REP,Republican Party,56,34,20,2
Lamb,1 - Olton Community ,Straight Party,,DEM,Democratic Party,31,19,12,0
Lamb,2 - Lamb County Ag Center ,Straight Party,,DEM,Democratic Party,65,25,33,7
Lamb,3 - Earth Community ,Straight Party,,OEM,Democratic Party,24,18,4,2
Lamb,4 - Sudan Community ,Straight Party,,DEM,Democratic Party,0,0,0,0
Lamb,5 - Olton Community ,Straight Party,,DEM,Democratic Party,26,18,2,6
Lamb,6 - Lamb County Ag Center ,Straight Party,,DEM  .,Democratic Party ,22,11,8,3
Lamb,7 & 8 - Lamb County Ag,Straight Party,,DEM,Democratic Party,110,45,47,18
Lamb,9 - Lamb County Ag Center ,Straight Party,,DEM,Democratic Party,86,22,18,46
Lamb,10 - Amherst Community ,Straight Party,,DEM,Democratic Party,22,16,3,3
Lamb,11 - Sudan Community ,Straight Party,,OEM,Democratic Party,26,18,7,1
Lamb,12 - Springlake 1st Bapt,Straight Party,,DEM,Democratic Party,6,6,0,0
Lamb,1 - Olton Community ,Straight Party,,LIB,Libertarian Party,1,1,0,0
Lamb,2 - Lamb County Ag Center ,Straight Party,,LIB,Libertarian Party,0,0,0,0
Lamb,3 - Earth Community ,Straight Party,,LIB,Libertarian Party,1,1,0,0
Lamb,4 - Sudan Community ,Straight Party,,LIB,Libertarian Party,0,0,0,0
Lamb,5 - Olton Community ,Straight Party,,LIB,Libertarian Party,0,0,0,0
Lamb,6 - Lamb County Ag Center ,Straight Party,,LIB,Libertarian Party,0,0,0,0
Lamb,7 & 8 - Lamb County Ag,Straight Party,,LIB,Libertarian Party,2,1,1,0
Lamb,9 - Lamb County Ag Center ,Straight Party,,LIB,Libertarian Party,5,2,1,2
Lamb,10 - Amherst Community ,Straight Party,,LIB .,Libertarian Party,0,0,0,0
Lamb,11 - Sudan Community ,Straight Party,,LIB,Libertarian Party,0,0,0,0
Lamb,12 - Springlake 1st Bapt,Straight Party,,LIB,Libertarian Party,0,0,0,0
Lamb,1 - Olton Community ,U.S. Senate,,REP,Ted Cruz,331,277,39,15
Lamb,2 - Lamb County Ag Center ,U.S. Senate,,REP,Ted Cruz,96,40,48,8
Lamb,3 - Earth Community ,U.S. Senate,,REP,Ted Cruz,261,205,42,14
Lamb,4 - Sudan Community ,U.S. Senate,,REP,Ted Cruz,38,28,9,1
Lamb,5 - Olton Community ,U.S. Senate,,REP,Ted Cruz,152,101,41,10
Lamb,6 - Lamb County Ag Center ,U.S. Senate,,REP,Ted Cruz,126,46,62,18
Lamb,7 & 8 - Lamb County Ag,U.S. Senate,,REP,Ted Cruz,841,248,546,47
Lamb,9 - Lamb County Ag Center ,U.S. Senate,,REP,Ted Cruz,324,97,185,42
Lamb,10 - Amherst Community ,U.S. Senate,,REP,Ted Cruz,170,85,71,14
Lamb,11 - Sudan Community ,U.S. Senate,,REP,Ted Cruz,309,208,79,22
Lamb,12 - Springlake 1st Bapt,U.S. Senate,,REP,Ted Cruz,93,57,34,2
Lamb,1 - Olton Community ,U.S. Senate,,DEM,Beto O'Rourke,87,65,22,0
Lamb,2 - Lamb County Ag Center ,U.S. Senate,,DEM,Beto O'Rourke,87,36,43,8
Lamb,3 - Earth Community ,U.S. Senate,,DEM,Beto O'Rourke,53,43,7,3
Lamb,4 - Sudan Community ,U.S. Senate,,OEM .  .,Beto O'Rourke,1,0,1,0
Lamb,5 - Olton Community ,U.S. Senate,,DEM,Beta O'Rourke,42,32,3,7
Lamb,6 - Lamb County Ag Center ,U.S. Senate,,DEM,Beto O'Rourke,33,16,13,4
Lamb,7 & 8 - Lamb County Ag,U.S. Senate,,DEM,Beto O'Rourke,183,80,82,21
Lamb,9 - Lamb County Ag Center ,U.S. Senate,,DEM,Beto O'Rourke,123,39,26,58
Lamb,10 - Amherst Community ,U.S. Senate,,DEM,Beta O'Rourke,28,20,3,5
Lamb,11 - Sudan Community ,U.S. Senate,,OEM,Seto O'Rourke,50,38,11,1
Lamb,12 - Springlake 1st Bapt,U.S. Senate,,DEM,Beta O'Rourke,12,9,3,0
Lamb,1 - Olton Community ,U.S. Senate,,LIB,Neal M. Dikeman,2,1,1,0
Lamb,2 - Lamb County Ag Center ,U.S. Senate,,L18,Neal M. Dikeman,1,1,0,0
Lamb,3 - Earth Community ,U.S. Senate,,LIB,Neal M.  Dikeman,2,2,0,0
Lamb,4 - Sudan Community ,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0
Lamb,5 - Olton Community ,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0
Lamb,6 - Lamb County Ag Center ,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0
Lamb,7 & 8 - Lamb County Ag,U.S. Senate,,LIB,Neal M. Dikeman,4,4,0,0
Lamb,9 - Lamb County Ag Center ,U.S. Senate,,LIB,Neal M. Dikeman,8,0,0,8
Lamb,10 - Amherst Community ,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0
Lamb,11 - Sudan Community ,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0
Lamb,12 - Springlake 1st Bapt,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0
Lamb,1 - Olton Community ,U.S. House,19,REP,Jodey Arrington,340,283,42,15
Lamb,2 - Lamb County Ag Center ,U.S. House,19,REP,Jodey Arrington,103,44,52,7
Lamb,3 - Earth Community ,U.S. House,19,REP,Jodey Arrington,265,208,43,14
Lamb,4 - Sudan Community ,U.S. House,19,REP,Jodey Arrington,38,28,9,1
Lamb,5 - Olton Community ,U.S. House,19,REP,Jodey Arrington,159,108,41,10
Lamb,6 - Lamb County Ag Center ,U.S. House,19,REP,Jodey Arrington,124,46,60,18
Lamb,7 & 8 - Lamb County Ag,U.S. House,19,REP,Jodey Arrington,868,261,561,46
Lamb,9 - Lamb County Ag Center ,U.S. House,19,REP,Jodey Arrington,333,100,185,48
Lamb,10 - Amherst Community ,U.S. House,19,REP,Jodey Arrington,171,86,71,14
Lamb,11 - Sudan Community ,U.S. House,19,REP,Jodey Arrington,314,213,79,22
Lamb,12 - Springlake 1st Bapt,U.S. House,19,REP,Jodey Arrington,95,59,34,2
Lamb,1 - Olton Community ,U.S. House,19,DEM,Miguel Levario,79,58,21,0
Lamb,2 - Lamb County Ag Center ,U.S. House,19,DEM,Miguel Levario,79,38,37,4
Lamb,3 - Earth Community ,U.S. House,19,DEM,Miguel Levario,48,39,6,3
Lamb,4 - Sudan Community ,U.S. House,19,DEM,Miguel Levario,1,0,1,0
Lamb,5 - Olton Community ,U.S. House,19,DEM,Miguel Levario,35,25,3,7
Lamb,6 - Lamb County Ag Center ,U.S. House,19,DEM,Miguel  Levario,33,15,14,4
Lamb,7 & 8 - Lamb County Ag,U.S. House,19,DEM,Miguel Levario,160,70,68,22
Lamb,9 - Lamb County Ag Center ,U.S. House,19,DEM,Miguel Levario,120,35,26,59
Lamb,10 - Amherst Community ,U.S. House,19,DEM,Miguel  Levario,27,19,3,5
Lamb,11 - Sudan Community ,U.S. House,19,DEM.,Miguel Levario,44,32,11,1
Lamb,12 - Springlake 1st Bapt,U.S. House,19,DEM,Miguel Levario,9,7,2,0
Lamb,1 - Olton Community ,Governor,,REP,Greg Abbott,333,277,40,16
Lamb,2 - Lamb County Ag Center ,Governor,,REP,Greg Abbott,110,46,57,7
Lamb,3 - Earth Community ,Governor,,REP,Greg Abbott,265,206,44,15
Lamb,4 - Sudan Community ,Governor,,REP,Greg Abbott,36,27,8,1
Lamb,5 - Olton Community ,Governor,,REP,Greg Abbott,157,106,41,10
Lamb,6 - Lamb County Ag Center ,Governor,,REP,Greg Abbott,125,55,60,10
Lamb,7 & 8 - Lamb County Ag,Governor,,REP,Greg Abbott,866,265,555,46
Lamb,9 - Lamb County Ag Center ,Governor,,REP,Greg Abbott,321,99,187,35
Lamb,10 - Amherst Community ,Governor,,REP,Greg Abbott,167,83,70,14
Lamb,11 - Sudan Community ,Governor,,REP,Greg Abbott,311,211,79,21
Lamb,12 - Springlake 1st Bapt,Governor,,REP,Greg Abbott,94,59,33,2
Lamb,1 - Olton Community ,Governor,,DEM,Lupe Valdez,86,64,22,0
Lamb,2 - Lamb County Ag Center ,Governor,,DEM,Lupe Valdez,74,31,34,9
Lamb,3 - Earth Community ,Governor,,DEM,Lupe Valdez,47,40,5,2
Lamb,4 - Sudan Community ,Governor,,DEM,Lupe Valdez,2,1,1,0
Lamb,5 - Olton Community ,Governor,,DEM,Lupe Valdez,35,26,2,7
Lamb,6 - Lamb County Ag Center ,Governor,,OEM,Lupe Valdez,32,15,13,4
Lamb,7 & 8 - Lamb County Ag,Governor,,DEM,Lupe Valdez,153,61,70,22
Lamb,9 - Lamb County Ag Center ,Governor,,DEM,Lupe Valdez,121,34,24,63
Lamb,10 - Amherst Community ,Governor,,DEM,Lupe Valdez,28,20,3,5
Lamb,11 - Sudan Community ,Governor,,DEM,Lupe Valdez,43,31,11,1
Lamb,12 - Springlake 1st Bapt,Governor,,DEM,Lupe Valdez,8,6,2,0
Lamb,1 - Olton Community ,Governor,,LIB,Mark Jay Tippetts,2,1,1,0
Lamb,2 - Lamb County Ag Center ,Governor,,LIB,Mark Jay Tippetts,0,0,0,0
Lamb,3 - Earth Community ,Governor,,LIB .,Mark Jay Tippetts,1,1,0,0
Lamb,4 - Sudan Community ,Governor,,LIB,Mark Jay Tippetts,0,0,0,0
Lamb,5 - Olton Community ,Governor,,LIB,Mark Jay Tippetts,1,1,0,0
Lamb,6 - Lamb County Ag Center ,Governor,,LIB,Mark Jay Tippetts,1,0,1,0
Lamb,7 & 8 - Lamb County Ag,Governor,,LIB,Mark Jay Tippetts,9,5,4,0
Lamb,9 - Lamb County Ag Center ,Governor,,LIB,Mark Jay Tippetts,13,3,0,10
Lamb,10 - Amherst Community ,Governor,,LIB,Mark Jay Tippetts,2,2,0,0
Lamb,11 - Sudan Community ,Governor,,LIB,Mark Jay Tippetts,4,3,1,0
Lamb,12 - Springlake 1st Bapt,Governor,,LIB,Mark Jay Tippetts,2,1,1,0
Lamb,1 - Olton Community ,Lieutenant Governor,,REP,Dan Patrick,313,264,35,14
Lamb,2 - Lamb County Ag Center ,Lieutenant Governor,,REP,Dan Patrick,97,41,49,7
Lamb,3 - Earth Community ,Lieutenant Governor,,REP,Dan Patrick,230,179,37,14
Lamb,4 - Sudan Community ,Lieutenant Governor,,REP,Dan Patrick,33,23,9,1
Lamb,5 - Olton Community ,Lieutenant Governor,,REP,Dan Patrick,144,81,39,24
Lamb,6 - Lamb County Ag Center ,Lieutenant Governor,,REP,Dan Patrick,120,43,59,18
Lamb,7 & 8 - Lamb County Ag,Lieutenant Governor,,REP,Dan Patrick,795,235,514,46
Lamb,9 - Lamb County Ag Center ,Lieutenant Governor,,REP,Dan Patrick,303,91,174,38
Lamb,10 - Amherst Community ,Lieutenant Governor,,REP,Dan Patrick,158,77,67,14
Lamb,11 - Sudan Community ,Lieutenant Governor,,REP,Dan Patrick,258,175,64,19
Lamb,12 - Springlake 1st Bapt,Lieutenant Governor,,REP,Dan Patrick,81,51,28,2
Lamb,1 - Olton Community ,Lieutenant Governor,,DEM,Mike Collier,93,67,26,0
Lamb,2 - Lamb County Ag Center ,Lieutenant Governor,,DEM,Mike Collier,83,35,39,9
Lamb,3 - Earth Community ,Lieutenant Governor,,DEM,Mike Collier,75,63,9,3
Lamb,4 - Sudan Community ,Lieutenant Governor,,DEM,Mike Collier,5,4,1,0
Lamb,5 - Olton Community ,Lieutenant Governor,,DEM,Mike Collier,49,38,4,7
Lamb,6 - Lamb County Ag Center ,Lieutenant Governor,,OEM,Mike Collier,34,16,14,4
Lamb,7 & 8 - Lamb County Ag,Lieutenant Governor,,DEM,Mike Collier,211,88,101,22
Lamb,9 - Lamb County Ag Center ,Lieutenant Governor,,DEM,Mike Collier,127,37,30,60
Lamb,10 - Amherst Community ,Lieutenant Governor,,DEM,Mike Collier,34,23,5,6
Lamb,11 - Sudan Community ,Lieutenant Governor,,DEM,Mike Collier,92,63,25,4
Lamb,12 - Springlake 1st Bapt,Lieutenant Governor,,DEM,Mike Collier,20,14,6,0
Lamb,1 - Olton Community ,Lieutenant Governor,,LIB,Kerry Douglas McKennon,9,8,1,0
Lamb,2 - Lamb County Ag Center ,Lieutenant Governor,,LIB,Kerry Douglas McKennon,5,1,4,0
Lamb,3 - Earth Community ,Lieutenant Governor,,LIB,Kerry Douglas McKennon,6,4,2,0
Lamb,4 - Sudan Community ,Lieutenant Governor,,LIB,Kerry Douglas McKennon,0,0,0,0
Lamb,5 - Olton Community ,Lieutenant Governor,,LIB,Kerry Douglas McKennon,0,0,0,0
Lamb,6 - Lamb County Ag Center ,Lieutenant Governor,,LIB,Kerry Douglas McKennon,2,1,1,0
Lamb,7 & 8 - Lamb County Ag,Lieutenant Governor,,LIB,Kerry Douglas McKennon,16,5,11,0
Lamb,9 - Lamb County Ag Center ,Lieutenant Governor,,LIB,Kerry Douglas McKennon,23,6,7,10
Lamb,10 - Amherst Community ,Lieutenant Governor,,LIB,Kerry Douglas McKennon,6,5,1,0
Lamb,11 - Sudan Community ,Lieutenant Governor,,LIB,Kerry Douglas McKennon,10,8,2,0
Lamb,12 - Springlake 1st Bapt,Lieutenant Governor,,LIB],Kerry Douglas McKennon,2,1,1,0
