county,precinct,office,district,party,candidate,votes
Lubbock,1,US Senate,,Rep,Ted Cruz,492
Lubbock,2,US Senate,,Rep,Ted Cruz,415
Lubbock,3,US Senate,,Rep,Ted Cruz,248
Lubbock,4,US Senate,,Rep,Ted Cruz,69
Lubbock,5,US Senate,,Rep,Ted Cruz,102
Lubbock,6,US Senate,,Rep,Ted Cruz,33
Lubbock,7,US Senate,,Rep,Ted Cruz,924
Lubbock,8,US Senate,,Rep,Ted Cruz,321
Lubbock,9,US Senate,,Rep,Ted Cruz,939
Lubbock,10,US Senate,,Rep,Ted Cruz,134
Lubbock,12,US Senate,,Rep,Ted Cruz,805
Lubbock,13,US Senate,,Rep,Ted Cruz,600
Lubbock,14,US Senate,,Rep,Ted Cruz,294
Lubbock,15,US Senate,,Rep,Ted Cruz,439
Lubbock,16,US Senate,,Rep,Ted Cruz,257
Lubbock,17,US Senate,,Rep,Ted Cruz,130
Lubbock,18,US Senate,,Rep,Ted Cruz,223
Lubbock,19,US Senate,,Rep,Ted Cruz,201
Lubbock,20,US Senate,,Rep,Ted Cruz,22
Lubbock,21,US Senate,,Rep,Ted Cruz,489
Lubbock,22,US Senate,,Rep,Ted Cruz,635
Lubbock,23,US Senate,,Rep,Ted Cruz,449
Lubbock,24,US Senate,,Rep,Ted Cruz,372
Lubbock,25,US Senate,,Rep,Ted Cruz,255
Lubbock,26,US Senate,,Rep,Ted Cruz,317
Lubbock,27,US Senate,,Rep,Ted Cruz,734
Lubbock,28,US Senate,,Rep,Ted Cruz,875
Lubbock,29,US Senate,,Rep,Ted Cruz,397
Lubbock,30,US Senate,,Rep,Ted Cruz,888
Lubbock,31,US Senate,,Rep,Ted Cruz,723
Lubbock,33,US Senate,,Rep,Ted Cruz,1581
Lubbock,34,US Senate,,Rep,Ted Cruz,217
Lubbock,35,US Senate,,Rep,Ted Cruz,307
Lubbock,36,US Senate,,Rep,Ted Cruz,738
Lubbock,38,US Senate,,Rep,Ted Cruz,291
Lubbock,39,US Senate,,Rep,Ted Cruz,964
Lubbock,40,US Senate,,Rep,Ted Cruz,34
Lubbock,41,US Senate,,Rep,Ted Cruz,1041
Lubbock,43,US Senate,,Rep,Ted Cruz,248
Lubbock,44,US Senate,,Rep,Ted Cruz,547
Lubbock,45,US Senate,,Rep,Ted Cruz,174
Lubbock,46,US Senate,,Rep,Ted Cruz,1456
Lubbock,47,US Senate,,Rep,Ted Cruz,866
