county,precinct,office,district,candidate,party,early_voting,election_day,votes
Menard,1,Straight Party,,Republican Party,REP,45,21,66
Menard,1,Straight Party,,Democratic Party,DEM,18,16,34
Menard,1,Straight Party,,Libertarian Party,LIB,0,0,0
Menard,1,U.S. Senate,,Ted Cruz,REP,73,35,108
Menard,1,U.S. Senate,,Beto O'Rourke,DEM,22,22,44
Menard,1,U.S. Senate,,Neal M. Dikeman,LIB,0,0,0
Menard,1,U.S. House,11,Mike Conaway,REP,74,36,110
Menard,1,U.S. House,11,Jennie Lou Leeder,DEM,20,19,39
Menard,1,U.S. House,11,Rhett Rosenquest Smith,LIB,1,1,2
Menard,1,Governor,,Greg Abbott,REP,76,34,110
Menard,1,Governor,,Lupe Valdez,DEM,19,22,41
Menard,1,Governor,,Mark Jay Tippetts,LIB,0,0,0
Menard,1,Lieutenant Governor,,Dan Patrick,REP,71,31,102
Menard,1,Lieutenant Governor,,Mike Collier,DEM,25,25,50
Menard,1,Lieutenant Governor,,Kerry Douglas McKennon,LIB,1,0,1
Menard,1,Attorney General,,Ken Paxton,REP,70,32,102
Menard,1,Attorney General,,Justin Nelson,DEM,22,23,45
Menard,1,Attorney General,,Michael Ray Harris,LIB,2,2,4
Menard,1,Comptroller of Public Accounts,,Glenn Hegar,REP,71,35,106
Menard,1,Comptroller of Public Accounts,,Joi Chevalier,DEM,22,22,44
Menard,1,Comptroller of Public Accounts,,Ben Sanders,LIB,2,0,2
Menard,1,Commissioner of the General Land Office,,George P. Bush,REP,67,30,97
Menard,1,Commissioner of the General Land Office,,Miguel Suazo,DEM,24,21,45
Menard,1,Commissioner of the General Land Office,,Matt Pi–a,LIB,3,6,9
Menard,1,Commissioner of Agriculture,,Sid Miller,REP,74,34,108
Menard,1,Commissioner of Agriculture,,Kim Olson,DEM,21,21,42
Menard,1,Commissioner of Agriculture,,Richard Carpenter,LIB,0,2,2
Menard,1,Railroad Commissioner,,Christi Craddick,REP,76,35,111
Menard,1,Railroad Commissioner,,Roman McAllen,DEM,21,22,43
Menard,1,Railroad Commissioner,,Mike Wright,LIB,0,0,0
Menard,1,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,,75,34,109
Menard,1,"Justice, Supreme Court, Place 2",,Steven Kirkland,,21,23,44
Menard,1,"Justice, Supreme Court, Place 4",,John Devine,,75,34,109
Menard,1,"Justice, Supreme Court, Place 4",,R.K. Sandill,,20,23,43
Menard,1,"Justice, Supreme Court, Place 6",,Jeff Brown,,74,34,108
Menard,1,"Justice, Supreme Court, Place 6",,Kathy Cheng,,21,23,44
Menard,1,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,,72,35,107
Menard,1,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,,23,22,45
Menard,1,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,,1,0,1
Menard,1,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,,75,34,109
Menard,1,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,,20,23,43
Menard,1,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,,75,35,110
Menard,1,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,,8,10,18
Menard,1,State Representative,53,Andrew S. Murr,REP,76,34,110
Menard,1,State Representative,53,Stephanie Lochte Ertel,DEM,21,23,44
Menard,1,"Justice, 4th Court of Appeals District, Place No. 2",,Marialyn Barnard,,77,34,111
Menard,1,"Justice, 4th Court of Appeals District, Place No. 2",,Beth Watkins,,20,23,43
Menard,1,"Justice, 4th Court of Appeals District, Place No. 3",,Jason Pulliam,,73,34,107
Menard,1,"Justice, 4th Court of Appeals District, Place No. 3",,Patricia O'Connell Alvarez,,21,23,44
Menard,1,"Justice, 4th Court of Appeals District, Place No. 4",,Patrick Ballantyne,,74,34,108
Menard,1,"Justice, 4th Court of Appeals District, Place No. 4",,Luz Elena Chapa,,21,23,44
Menard,1,"Justice, 4th Court of Appeals District, Place No. 5",,Rebecca Simmons,,74,34,108
Menard,1,"Justice, 4th Court of Appeals District, Place No. 5",,Liza Rodriguez,,22,23,45
Menard,1,"Justice, 4th Court of Appeals District, Place No. 7",,Shane Stolarczyk,,76,34,110
Menard,1,"Justice, 4th Court of Appeals District, Place No. 7",,Rebeca Martinez,,21,23,44
Menard,1,"District Judge, 452nd Judicial District",,"Robert R. ""Rob"" Hofmann",,78,36,114
Menard,1,"District Attorney, 452nd Judicial District",,Tonya Spaeth Ahlschwede,,80,39,119
Menard,2,Straight Party,,Republican Party,REP,55,25,80
Menard,2,Straight Party,,Democratic Party,DEM,9,5,14
Menard,2,Straight Party,,Libertarian Party,LIB,0,0,0
Menard,2,U.S. Senate,,Ted Cruz,REP,97,50,147
Menard,2,U.S. Senate,,Beto O'Rourke,DEM,18,14,32
Menard,2,U.S. Senate,,Neal M. Dikeman,LIB,1,0,1
Menard,2,U.S. House,11,Mike Conaway,REP,100,53,153
Menard,2,U.S. House,11,Jennie Lou Leeder,DEM,15,11,26
Menard,2,U.S. House,11,Rhett Rosenquest Smith,LIB,0,0,0
Menard,2,Governor,,Greg Abbott,REP,97,52,149
Menard,2,Governor,,Lupe Valdez,DEM,17,12,29
Menard,2,Governor,,Mark Jay Tippetts,LIB,0,0,0
Menard,2,Lieutenant Governor,,Dan Patrick,REP,86,46,132
Menard,2,Lieutenant Governor,,Mike Collier,DEM,20,16,36
Menard,2,Lieutenant Governor,,Kerry Douglas McKennon,LIB,4,2,6
Menard,2,Attorney General,,Ken Paxton,REP,90,50,140
Menard,2,Attorney General,,Justin Nelson,DEM,21,11,32
Menard,2,Attorney General,,Michael Ray Harris,LIB,2,1,3
Menard,2,Comptroller of Public Accounts,,Glenn Hegar,REP,94,49,143
Menard,2,Comptroller of Public Accounts,,Joi Chevalier,DEM,16,12,28
Menard,2,Comptroller of Public Accounts,,Ben Sanders,LIB,3,2,5
Menard,2,Commissioner of the General Land Office,,George P. Bush,REP,94,50,144
Menard,2,Commissioner of the General Land Office,,Miguel Suazo,DEM,16,11,27
Menard,2,Commissioner of the General Land Office,,Matt Pi–a,LIB,5,3,8
Menard,2,Commissioner of Agriculture,,Sid Miller,REP,92,49,141
Menard,2,Commissioner of Agriculture,,Kim Olson,DEM,18,13,31
Menard,2,Commissioner of Agriculture,,Richard Carpenter,LIB,4,2,6
Menard,2,Railroad Commissioner,,Christi Craddick,REP,93,52,145
Menard,2,Railroad Commissioner,,Roman McAllen,DEM,16,10,26
Menard,2,Railroad Commissioner,,Mike Wright,LIB,3,2,5
Menard,2,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,,91,52,143
Menard,2,"Justice, Supreme Court, Place 2",,Steven Kirkland,,20,12,32
Menard,2,"Justice, Supreme Court, Place 4",,John Devine,,91,52,143
Menard,2,"Justice, Supreme Court, Place 4",,R.K. Sandill,,20,12,32
Menard,2,"Justice, Supreme Court, Place 6",,Jeff Brown,,92,51,143
Menard,2,"Justice, Supreme Court, Place 6",,Kathy Cheng,,19,11,30
Menard,2,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,,90,50,140
Menard,2,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,,19,10,29
Menard,2,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,,2,0,2
Menard,2,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,,94,49,143
Menard,2,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,,17,11,28
Menard,2,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,,94,50,144
Menard,2,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,,8,5,13
Menard,2,State Representative,53,Andrew S. Murr,REP,99,54,153
Menard,2,State Representative,53,Stephanie Lochte Ertel,DEM,15,8,23
Menard,2,"Justice, 4th Court of Appeals District, Place No. 2",,Marialyn Barnard,,91,51,142
Menard,2,"Justice, 4th Court of Appeals District, Place No. 2",,Beth Watkins,,19,9,28
Menard,2,"Justice, 4th Court of Appeals District, Place No. 3",,Jason Pulliam,,94,48,142
Menard,2,"Justice, 4th Court of Appeals District, Place No. 3",,Patricia O'Connell Alvarez,,17,12,29
Menard,2,"Justice, 4th Court of Appeals District, Place No. 4",,Patrick Ballantyne,,91,48,139
Menard,2,"Justice, 4th Court of Appeals District, Place No. 4",,Luz Elena Chapa,,19,12,31
Menard,2,"Justice, 4th Court of Appeals District, Place No. 5",,Rebecca Simmons,,92,49,141
Menard,2,"Justice, 4th Court of Appeals District, Place No. 5",,Liza Rodriguez,,19,11,30
Menard,2,"Justice, 4th Court of Appeals District, Place No. 7",,Shane Stolarczyk,,89,48,137
Menard,2,"Justice, 4th Court of Appeals District, Place No. 7",,Rebeca Martinez,,21,12,33
Menard,2,"District Judge, 452nd Judicial District",,"Robert R. ""Rob"" Hofmann",,105,59,164
Menard,2,"District Attorney, 452nd Judicial District",,Tonya Spaeth Ahlschwede,,101,59,160
Menard,3,Straight Party,,Republican Party,REP,99,26,125
Menard,3,Straight Party,,Democratic Party,DEM,20,3,23
Menard,3,Straight Party,,Libertarian Party,LIB,0,0,0
Menard,3,U.S. Senate,,Ted Cruz,REP,134,38,172
Menard,3,U.S. Senate,,Beto O'Rourke,DEM,27,6,33
Menard,3,U.S. Senate,,Neal M. Dikeman,LIB,1,2,3
Menard,3,U.S. House,11,Mike Conaway,REP,138,43,181
Menard,3,U.S. House,11,Jennie Lou Leeder,DEM,24,3,27
Menard,3,U.S. House,11,Rhett Rosenquest Smith,LIB,1,0,1
Menard,3,Governor,,Greg Abbott,REP,135,40,175
Menard,3,Governor,,Lupe Valdez,DEM,27,4,31
Menard,3,Governor,,Mark Jay Tippetts,LIB,0,0,0
Menard,3,Lieutenant Governor,,Dan Patrick,REP,127,34,161
Menard,3,Lieutenant Governor,,Mike Collier,DEM,28,7,35
Menard,3,Lieutenant Governor,,Kerry Douglas McKennon,LIB,5,4,9
Menard,3,Attorney General,,Ken Paxton,REP,129,35,164
Menard,3,Attorney General,,Justin Nelson,DEM,31,8,39
Menard,3,Attorney General,,Michael Ray Harris,LIB,1,0,1
Menard,3,Comptroller of Public Accounts,,Glenn Hegar,REP,129,36,165
Menard,3,Comptroller of Public Accounts,,Joi Chevalier,DEM,29,6,35
Menard,3,Comptroller of Public Accounts,,Ben Sanders,LIB,3,0,3
Menard,3,Commissioner of the General Land Office,,George P. Bush,REP,129,38,167
