county,precinct,office,district,party,candidate,early_voting,election_day,votes
Duval,1,,,,Ballots Cast,634,340,974
Duval,1,,,,Ballots Cast,406,213,619
Duval,1,,,,Over Votes,0,0,0
Duval,1,,,,Under Votes,228,127,355
Duval,2,,,,Ballots Cast,578,221,799
Duval,2,,,,Ballots Cast,337,138,475
Duval,2,,,,Over Votes,0,0,0
Duval,2,,,,Under Votes,241,83,324
Duval,3,,,,Ballots Cast,170,115,285
Duval,3,,,,Ballots Cast,84,62,146
Duval,3,,,,Over Votes,0,0,0
Duval,3,,,,Under Votes,86,53,139
Duval,4,,,,Ballots Cast,65,35,100
Duval,4,,,,Ballots Cast,37,17,54
Duval,4,,,,Over Votes,0,0,0
Duval,4,,,,Under Votes,28,18,46
Duval,5,,,,Ballots Cast,139,68,207
Duval,5,,,,Ballots Cast,87,42,129
Duval,5,,,,Over Votes,0,0,0
Duval,5,,,,Under Votes,52,26,78
Duval,6,,,,Ballots Cast,59,33,92
Duval,6,,,,Ballots Cast,30,18,48
Duval,6,,,,Over Votes,0,0,0
Duval,6,,,,Under Votes,29,15,44
Duval,7,,,,Ballots Cast,55,21,76
Duval,7,,,,Ballots Cast,23,10,33
Duval,7,,,,Over Votes,0,0,0
Duval,7,,,,Under Votes,32,11,43
Duval,8,,,,Ballots Cast,845,317,1162
Duval,8,,,,Ballots Cast,462,183,645
Duval,8,,,,Over Votes,0,0,0
Duval,8,,,,Under Votes,383,134,517
Duval,9,,,,Ballots Cast,381,231,612
Duval,9,,,,Ballots Cast,243,143,386
Duval,9,,,,Over Votes,1,0,1
Duval,9,,,,Under Votes,137,88,225
Duval,1,U.S. Senate,,REP,Ted Cruz,149,79,228
Duval,1,U.S. Senate,,DEM,Beto O'Rourke ,466,237,703
Duval,1,U.S. Senate,,LIB,Neal M. Dikeman,2,1,3
Duval,1,U.S. Senate,,,Ballots Cast,617,317,934
Duval,1,U.S. Senate,,,Over Votes,0,0,0
Duval,1,U.S. Senate,,,Under Votes,17,23,40
Duval,2,U.S. Senate,,REP,Ted Cruz,117,54,171
Duval,2,U.S. Senate,,DEM,Beto O'Rourke ,424,157,581
Duval,2,U.S. Senate,,LIB,Neal M. Dikeman,2,1,3
Duval,2,U.S. Senate,,,Ballots Cast,543,212,755
Duval,2,U.S. Senate,,,Over Votes,0,0,0
Duval,2,U.S. Senate,,,Under Votes,35,9,44
Duval,3,U.S. Senate,,REP,Ted Cruz,45,24,69
Duval,3,U.S. Senate,,DEM,Beto O'Rourke ,120,90,210
Duval,3,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0
Duval,3,U.S. Senate,,,Ballots Cast,165,114,279
Duval,3,U.S. Senate,,,Over Votes,0,0,0
Duval,3,U.S. Senate,,,Under Votes,5,1,6
Duval,4,U.S. Senate,,REP,Ted Cruz,31,16,47
Duval,4,U.S. Senate,,DEM,Beto O'Rourke ,32,18,50
Duval,4,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0
Duval,4,U.S. Senate,,,Ballots Cast,63,34,97
Duval,4,U.S. Senate,,,Over Votes,0,0,0
Duval,4,U.S. Senate,,,Under Votes,2,1,3
Duval,5,U.S. Senate,,REP,Ted Cruz,45,18,63
Duval,5,U.S. Senate,,DEM,Beto O'Rourke ,89,47,136
Duval,5,U.S. Senate,,LIB,Neal M. Dikeman,1,1,2
Duval,5,U.S. Senate,,,Ballots Cast,135,66,201
Duval,5,U.S. Senate,,,Over Votes,0,0,0
Duval,5,U.S. Senate,,,Under Votes,4,2,6
Duval,6,U.S. Senate,,REP,Ted Cruz,9,7,90
Duval,6,U.S. Senate,,DEM,Beto O'Rourke ,48,26,0
Duval,6,U.S. Senate,,LIB,Neal M. Dikeman,0,0,2
Duval,6,U.S. Senate,,,Ballots Cast,57,33,90
Duval,6,U.S. Senate,,,Over Votes,0,0,11
Duval,6,U.S. Senate,,,Under Votes,2,0,62
Duval,7,U.S. Senate,,REP,Ted Cruz,35,16,51
