county,precinct,office,district,party,candidate,election_day,early_voting,mail,votes
Borden,1A,Registered Voters,,,,,,,63
Borden,1B,Registered Voters,,,,,,,69
Borden,2A,Registered Voters,,,,,,,106
Borden,2B,Registered Voters,,,,,,,42
Borden,3A,Registered Voters,,,,,,,35
Borden,3B,Registered Voters,,,,,,,46
Borden,4,Registered Voters,,,,,,,123
Borden,1A,Ballots Cast,,DEM,,1,1,0,2
Borden,1B,Ballots Cast,,DEM,,0,0,0,0
Borden,2A,Ballots Cast,,DEM,,0,0,0,0
Borden,2B,Ballots Cast,,DEM,,0,0,0,0
Borden,3A,Ballots Cast,,DEM,,0,0,0,0
Borden,3B,Ballots Cast,,DEM,,0,0,0,0
Borden,4,Ballots Cast,,DEM,,1,3,0,4
Borden,1A,President,,DEM,Amy Klobuchar,0,0,0,0
Borden,1B,President,,DEM,Amy Klobuchar,0,0,0,0
Borden,2A,President,,DEM,Amy Klobuchar,0,0,0,0
Borden,2B,President,,DEM,Amy Klobuchar,0,0,0,0
Borden,3A,President,,DEM,Amy Klobuchar,0,0,0,0
Borden,3B,President,,DEM,Amy Klobuchar,0,0,0,0
Borden,4,President,,DEM,Amy Klobuchar,0,1,0,1
Borden,1A,President,,DEM,John Delaney,0,0,0,0
Borden,1B,President,,DEM,John Delaney,0,0,0,0
Borden,2A,President,,DEM,John Delaney,0,0,0,0
Borden,2B,President,,DEM,John Delaney,0,0,0,0
Borden,3A,President,,DEM,John Delaney,0,0,0,0
Borden,3B,President,,DEM,John Delaney,0,0,0,0
Borden,4,President,,DEM,John Delaney,0,0,0,0
Borden,1A,President,,DEM,Elizabeth Warren,0,0,0,0
Borden,1B,President,,DEM,Elizabeth Warren,0,0,0,0
Borden,2A,President,,DEM,Elizabeth Warren,0,0,0,0
Borden,2B,President,,DEM,Elizabeth Warren,0,0,0,0
Borden,3A,President,,DEM,Elizabeth Warren,0,0,0,0
Borden,3B,President,,DEM,Elizabeth Warren,0,0,0,0
Borden,4,President,,DEM,Elizabeth Warren,0,0,0,0
Borden,1A,President,,DEM,Bernie Sanders,0,1,0,1
Borden,1B,President,,DEM,Bernie Sanders,0,0,0,0
Borden,2A,President,,DEM,Bernie Sanders,0,0,0,0
Borden,2B,President,,DEM,Bernie Sanders,0,0,0,0
Borden,3A,President,,DEM,Bernie Sanders,0,0,0,0
Borden,3B,President,,DEM,Bernie Sanders,0,0,0,0
Borden,4,President,,DEM,Bernie Sanders,0,0,0,0
Borden,1A,President,,DEM,Tom Steyer,0,0,0,0
Borden,1B,President,,DEM,Tom Steyer,0,0,0,0
Borden,2A,President,,DEM,Tom Steyer,0,0,0,0
Borden,2B,President,,DEM,Tom Steyer,0,0,0,0
Borden,3A,President,,DEM,Tom Steyer,0,0,0,0
Borden,3B,President,,DEM,Tom Steyer,0,0,0,0
Borden,4,President,,DEM,Tom Steyer,0,0,0,0
Borden,1A,President,,DEM,Julian Castro,0,0,0,0
Borden,1B,President,,DEM,Julian Castro,0,0,0,0
Borden,2A,President,,DEM,Julian Castro,0,0,0,0
Borden,2B,President,,DEM,Julian Castro,0,0,0,0
Borden,3A,President,,DEM,Julian Castro,0,0,0,0
Borden,3B,President,,DEM,Julian Castro,0,0,0,0
Borden,4,President,,DEM,Julian Castro,0,0,0,0
Borden,1A,President,,DEM,Marianne Williamson,0,0,0,0
Borden,1B,President,,DEM,Marianne Williamson,0,0,0,0
Borden,2A,President,,DEM,Marianne Williamson,0,0,0,0
Borden,2B,President,,DEM,Marianne Williamson,0,0,0,0
Borden,3A,President,,DEM,Marianne Williamson,0,0,0,0
Borden,3B,President,,DEM,Marianne Williamson,0,0,0,0
Borden,4,President,,DEM,Marianne Williamson,0,0,0,0
Borden,1A,President,,DEM,Pete Buttigieg,0,0,0,0
Borden,1B,President,,DEM,Pete Buttigieg,0,0,0,0
Borden,2A,President,,DEM,Pete Buttigieg,0,0,0,0
Borden,2B,President,,DEM,Pete Buttigieg,0,0,0,0
Borden,3A,President,,DEM,Pete Buttigieg,0,0,0,0
Borden,3B,President,,DEM,Pete Buttigieg,0,0,0,0
Borden,4,President,,DEM,Pete Buttigieg,0,0,0,0
Borden,1A,President,,DEM,Michael Bennet,0,0,0,0
Borden,1B,President,,DEM,Michael Bennet,0,0,0,0
Borden,2A,President,,DEM,Michael Bennet,0,0,0,0
Borden,2B,President,,DEM,Michael Bennet,0,0,0,0
Borden,3A,President,,DEM,Michael Bennet,0,0,0,0
Borden,3B,President,,DEM,Michael Bennet,0,0,0,0
Borden,4,President,,DEM,Michael Bennet,0,0,0,0
Borden,1A,President,,DEM,Robby Wells,0,0,0,0
Borden,1B,President,,DEM,Robby Wells,0,0,0,0
Borden,2A,President,,DEM,Robby Wells,0,0,0,0
Borden,2B,President,,DEM,Robby Wells,0,0,0,0
Borden,3A,President,,DEM,Robby Wells,0,0,0,0
Borden,3B,President,,DEM,Robby Wells,0,0,0,0
Borden,4,President,,DEM,Robby Wells,0,0,0,0
Borden,1A,President,,DEM,Deval Patrick,0,0,0,0
Borden,1B,President,,DEM,Deval Patrick,0,0,0,0
Borden,2A,President,,DEM,Deval Patrick,0,0,0,0
Borden,2B,President,,DEM,Deval Patrick,0,0,0,0
Borden,3A,President,,DEM,Deval Patrick,0,0,0,0
Borden,3B,President,,DEM,Deval Patrick,0,0,0,0
Borden,4,President,,DEM,Deval Patrick,0,0,0,0
Borden,1A,President,,DEM,Rocky De La Fuente,0,0,0,0
Borden,1B,President,,DEM,Rocky De La Fuente,0,0,0,0
Borden,2A,President,,DEM,Rocky De La Fuente,0,0,0,0
Borden,2B,President,,DEM,Rocky De La Fuente,0,0,0,0
Borden,3A,President,,DEM,Rocky De La Fuente,0,0,0,0
Borden,3B,President,,DEM,Rocky De La Fuente,0,0,0,0
Borden,4,President,,DEM,Rocky De La Fuente,0,0,0,0
Borden,1A,President,,DEM,Michael R. Bloomberg,1,0,0,1
Borden,1B,President,,DEM,Michael R. Bloomberg,0,0,0,0
Borden,2A,President,,DEM,Michael R. Bloomberg,0,0,0,0
Borden,2B,President,,DEM,Michael R. Bloomberg,0,0,0,0
Borden,3A,President,,DEM,Michael R. Bloomberg,0,0,0,0
Borden,3B,President,,DEM,Michael R. Bloomberg,0,0,0,0
Borden,4,President,,DEM,Michael R. Bloomberg,0,1,0,1
Borden,1A,President,,DEM,Tulsi Gabbard,0,0,0,0
Borden,1B,President,,DEM,Tulsi Gabbard,0,0,0,0
Borden,2A,President,,DEM,Tulsi Gabbard,0,0,0,0
Borden,2B,President,,DEM,Tulsi Gabbard,0,0,0,0
Borden,3A,President,,DEM,Tulsi Gabbard,0,0,0,0
Borden,3B,President,,DEM,Tulsi Gabbard,0,0,0,0
Borden,4,President,,DEM,Tulsi Gabbard,0,0,0,0
