county,precinct,office,district,party,candidate,early_voting,election_day,votes
Brewster,1,Registered Voters,,,,,,2001
Brewster,2,Registered Voters,,,,,,1181
Brewster,3,Registered Voters,,,,,,398
Brewster,4,Registered Voters,,,,,,1647
Brewster,5,Registered Voters,,,,,,136
Brewster,6,Registered Voters,,,,,,676
Brewster,7,Registered Voters,,,,,,143
Brewster,8,Registered Voters,,,,,,1019
Brewster,1,Ballots Cast,,DEM,,174,157,331
Brewster,2,Ballots Cast,,DEM,,161,101,262
Brewster,3,Ballots Cast,,DEM,,39,45,84
Brewster,4,Ballots Cast,,DEM,,144,128,272
Brewster,5,Ballots Cast,,DEM,,2,29,31
Brewster,6,Ballots Cast,,DEM,,41,92,133
Brewster,7,Ballots Cast,,DEM,,15,31,46
Brewster,8,Ballots Cast,,DEM,,84,99,183
Brewster,1,President,,DEM,Cory Booker,0,1,1
Brewster,2,President,,DEM,Cory Booker,0,0,0
Brewster,3,President,,DEM,Cory Booker,0,0,0
Brewster,4,President,,DEM,Cory Booker,1,0,1
Brewster,5,President,,DEM,Cory Booker,0,0,0
Brewster,6,President,,DEM,Cory Booker,0,0,0
Brewster,7,President,,DEM,Cory Booker,0,0,0
Brewster,8,President,,DEM,Cory Booker,0,2,2
Brewster,1,President,,DEM,Deval Patrick,0,1,1
Brewster,2,President,,DEM,Deval Patrick,0,0,0
Brewster,3,President,,DEM,Deval Patrick,0,0,0
Brewster,4,President,,DEM,Deval Patrick,1,0,1
Brewster,5,President,,DEM,Deval Patrick,0,0,0
Brewster,6,President,,DEM,Deval Patrick,0,0,0
Brewster,7,President,,DEM,Deval Patrick,0,0,0
Brewster,8,President,,DEM,Deval Patrick,0,0,0
Brewster,1,President,,DEM,Michael R. Bloomberg,25,17,42
Brewster,2,President,,DEM,Michael R. Bloomberg,24,4,28
Brewster,3,President,,DEM,Michael R. Bloomberg,9,4,13
Brewster,4,President,,DEM,Michael R. Bloomberg,21,17,38
Brewster,5,President,,DEM,Michael R. Bloomberg,0,0,0
Brewster,6,President,,DEM,Michael R. Bloomberg,3,5,8
Brewster,7,President,,DEM,Michael R. Bloomberg,0,1,1
Brewster,8,President,,DEM,Michael R. Bloomberg,14,7,21
Brewster,1,President,,DEM,Michael Bennet,0,1,1
Brewster,2,President,,DEM,Michael Bennet,0,0,0
Brewster,3,President,,DEM,Michael Bennet,0,0,0
Brewster,4,President,,DEM,Michael Bennet,1,0,1
Brewster,5,President,,DEM,Michael Bennet,0,0,0
Brewster,6,President,,DEM,Michael Bennet,0,0,0
Brewster,7,President,,DEM,Michael Bennet,0,0,0
Brewster,8,President,,DEM,Michael Bennet,1,0,1
Brewster,1,President,,DEM,Pete Buttigieg,19,5,24
Brewster,2,President,,DEM,Pete Buttigieg,17,0,17
Brewster,3,President,,DEM,Pete Buttigieg,1,0,1
Brewster,4,President,,DEM,Pete Buttigieg,9,0,9
Brewster,5,President,,DEM,Pete Buttigieg,0,0,0
Brewster,6,President,,DEM,Pete Buttigieg,1,0,1
Brewster,7,President,,DEM,Pete Buttigieg,0,0,0
Brewster,8,President,,DEM,Pete Buttigieg,4,0,4
Brewster,1,President,,DEM,Amy Klobuchar,5,1,6
Brewster,2,President,,DEM,Amy Klobuchar,7,0,7
Brewster,3,President,,DEM,Amy Klobuchar,3,0,3
Brewster,4,President,,DEM,Amy Klobuchar,12,0,12
Brewster,5,President,,DEM,Amy Klobuchar,0,0,0
Brewster,6,President,,DEM,Amy Klobuchar,2,2,4
Brewster,7,President,,DEM,Amy Klobuchar,0,1,1
Brewster,8,President,,DEM,Amy Klobuchar,5,0,5
Brewster,1,President,,DEM,Andrew Yang,1,1,2
Brewster,2,President,,DEM,Andrew Yang,1,0,1
Brewster,3,President,,DEM,Andrew Yang,0,0,0
Brewster,4,President,,DEM,Andrew Yang,0,0,0
Brewster,5,President,,DEM,Andrew Yang,0,1,1
Brewster,6,President,,DEM,Andrew Yang,1,1,2
Brewster,7,President,,DEM,Andrew Yang,0,0,0
Brewster,8,President,,DEM,Andrew Yang,0,0,0
Brewster,1,President,,DEM,Joseph R. Biden,18,61,79
Brewster,2,President,,DEM,Joseph R. Biden,24,44,68
Brewster,3,President,,DEM,Joseph R. Biden,11,22,33
Brewster,4,President,,DEM,Joseph R. Biden,24,42,66
Brewster,5,President,,DEM,Joseph R. Biden,0,11,11
Brewster,6,President,,DEM,Joseph R. Biden,6,31,37
Brewster,7,President,,DEM,Joseph R. Biden,1,10,11
Brewster,8,President,,DEM,Joseph R. Biden,11,38,49
Brewster,1,President,,DEM,Robby Wells,0,0,0
Brewster,2,President,,DEM,Robby Wells,0,0,0
Brewster,3,President,,DEM,Robby Wells,0,1,1
Brewster,4,President,,DEM,Robby Wells,0,1,1
Brewster,5,President,,DEM,Robby Wells,0,0,0
Brewster,6,President,,DEM,Robby Wells,0,0,0
Brewster,7,President,,DEM,Robby Wells,0,0,0
Brewster,8,President,,DEM,Robby Wells,0,0,0
Brewster,1,President,,DEM,Julian Castro,1,0,1
Brewster,2,President,,DEM,Julian Castro,0,0,0
Brewster,3,President,,DEM,Julian Castro,0,0,0
Brewster,4,President,,DEM,Julian Castro,0,5,5
Brewster,5,President,,DEM,Julian Castro,0,0,0
Brewster,6,President,,DEM,Julian Castro,0,1,1
Brewster,7,President,,DEM,Julian Castro,0,0,0
Brewster,8,President,,DEM,Julian Castro,0,3,3
Brewster,1,President,,DEM,Elizabeth Warren,48,20,68
Brewster,2,President,,DEM,Elizabeth Warren,43,11,54
Brewster,3,President,,DEM,Elizabeth Warren,2,7,9
Brewster,4,President,,DEM,Elizabeth Warren,30,16,46
Brewster,5,President,,DEM,Elizabeth Warren,1,10,11
Brewster,6,President,,DEM,Elizabeth Warren,7,18,25
Brewster,7,President,,DEM,Elizabeth Warren,6,6,12
Brewster,8,President,,DEM,Elizabeth Warren,10,15,25
Brewster,1,President,,DEM,Bernie Sanders,49,42,91
Brewster,2,President,,DEM,Bernie Sanders,42,35,77
Brewster,3,President,,DEM,Bernie Sanders,11,9,20
Brewster,4,President,,DEM,Bernie Sanders,33,38,71
Brewster,5,President,,DEM,Bernie Sanders,1,7,8
Brewster,6,President,,DEM,Bernie Sanders,20,36,56
Brewster,7,President,,DEM,Bernie Sanders,8,11,19
Brewster,8,President,,DEM,Bernie Sanders,35,31,66
Brewster,1,President,,DEM,Tom Steyer,0,2,2
Brewster,2,President,,DEM,Tom Steyer,0,0,0
Brewster,3,President,,DEM,Tom Steyer,0,1,1
Brewster,4,President,,DEM,Tom Steyer,3,0,3
Brewster,5,President,,DEM,Tom Steyer,0,0,0
Brewster,6,President,,DEM,Tom Steyer,0,0,0
Brewster,7,President,,DEM,Tom Steyer,0,0,0
Brewster,8,President,,DEM,Tom Steyer,0,0,0
Brewster,1,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1
Brewster,2,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1
Brewster,3,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1
Brewster,4,President,,DEM,"Roque ""Rocky"" De La Fuente",0,1,1
Brewster,5,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Brewster,6,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Brewster,7,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Brewster,8,President,,DEM,"Roque ""Rocky"" De La Fuente",0,1,1
Brewster,1,President,,DEM,Tulsi Gabbard,2,1,1
Brewster,2,President,,DEM,Tulsi Gabbard,1,3,1
Brewster,3,President,,DEM,Tulsi Gabbard,0,0,1
Brewster,4,President,,DEM,Tulsi Gabbard,4,1,1
Brewster,5,President,,DEM,Tulsi Gabbard,0,0,0
Brewster,6,President,,DEM,Tulsi Gabbard,1,0,0
Brewster,7,President,,DEM,Tulsi Gabbard,0,1,0
Brewster,8,President,,DEM,Tulsi Gabbard,1,0,1
Brewster,1,President,,DEM,Marianne Williamson,2,0,2
Brewster,2,President,,DEM,Marianne Williamson,1,0,1
Brewster,3,President,,DEM,Marianne Williamson,0,0,0
Brewster,4,President,,DEM,Marianne Williamson,0,0,0
Brewster,5,President,,DEM,Marianne Williamson,0,0,0
Brewster,6,President,,DEM,Marianne Williamson,0,0,0
Brewster,7,President,,DEM,Marianne Williamson,0,0,0
Brewster,8,President,,DEM,Marianne Williamson,0,0,0
Brewster,1,President,,DEM,John K. Delaney,1,1,2
Brewster,2,President,,DEM,John K. Delaney,0,0,0
Brewster,3,President,,DEM,John K. Delaney,0,0,0
Brewster,4,President,,DEM,John K. Delaney,0,1,1
Brewster,5,President,,DEM,John K. Delaney,0,0,0
Brewster,6,President,,DEM,John K. Delaney,0,0,0
Brewster,7,President,,DEM,John K. Delaney,0,0,0
Brewster,8,President,,DEM,John K. Delaney,0,0,0
Brewster,1,U.S. Senate,,DEM,D.R. Hunter,1,5,6
Brewster,2,U.S. Senate,,DEM,D.R. Hunter,3,3,6
Brewster,3,U.S. Senate,,DEM,D.R. Hunter,0,1,1
Brewster,4,U.S. Senate,,DEM,D.R. Hunter,2,4,6
Brewster,5,U.S. Senate,,DEM,D.R. Hunter,0,2,2
Brewster,6,U.S. Senate,,DEM,D.R. Hunter,1,0,1
Brewster,7,U.S. Senate,,DEM,D.R. Hunter,0,0,0
Brewster,8,U.S. Senate,,DEM,D.R. Hunter,3,5,8
Brewster,1,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",16,20,36
Brewster,2,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",23,16,39
Brewster,3,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",4,7,11
Brewster,4,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",24,22,46
Brewster,5,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",1,4,5
Brewster,6,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",11,18,29
Brewster,7,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",1,5,6
Brewster,8,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",10,22,32
Brewster,1,U.S. Senate,,DEM,Jack Daniel Foster Jr.,4,5,9
