county,precinct,office,district,party,candidate,votes,early_votes,election_day
Ochiltree,1,President,,REP,"Roque ""Rocky"" De La Fuenta Guerrera",1,0,1
Ochiltree,2,President,,REP,"Roque ""Rocky"" De La Fuenta Guerrera",1,1,0
Ochiltree,3,President,,REP,"Roque ""Rocky"" De La Fuenta Guerrera",1,0,1
Ochiltree,4,President,,REP,"Roque ""Rocky"" De La Fuenta Guerrera",5,3,2
Ochiltree,1,President,,REP,Matthew John Matern,0,0,0
Ochiltree,2,President,,REP,Matthew John Matern,0,0,0
Ochiltree,3,President,,REP,Matthew John Matern,0,0,0
Ochiltree,4,President,,REP,Matthew John Matern,0,0,0
Ochiltree,1,President,,REP,Zoltan G. Istvan,0,0,0
Ochiltree,2,President,,REP,Zoltan G. Istvan,0,0,0
Ochiltree,3,President,,REP,Zoltan G. Istvan,0,0,0
Ochiltree,4,President,,REP,Zoltan G. Istvan,0,0,0
Ochiltree,1,President,,REP,Bill Weld,0,0,0
Ochiltree,2,President,,REP,Bill Weld,2,0,2
Ochiltree,3,President,,REP,Bill Weld,3,3,0
Ochiltree,4,President,,REP,Bill Weld,3,2,1
Ochiltree,1,President,,REP,Joe Walsh,0,0,0
Ochiltree,2,President,,REP,Joe Walsh,3,1,2
Ochiltree,3,President,,REP,Joe Walsh,6,3,3
Ochiltree,4,President,,REP,Joe Walsh,3,1,2
Ochiltree,1,President,,REP,Bob Ely,0,0,0
Ochiltree,2,President,,REP,Bob Ely,0,0,0
Ochiltree,3,President,,REP,Bob Ely,0,0,0
Ochiltree,4,President,,REP,Bob Ely,0,0,0
Ochiltree,1,President,,REP,Donald J. Trump,211,101,110
Ochiltree,2,President,,REP,Donald J. Trump,349,138,211
Ochiltree,3,President,,REP,Donald J. Trump,685,318,367
Ochiltree,4,President,,REP,Donald J. Trump,472,197,275
Ochiltree,1,President,,REP,Uncommitted,6,2,4
Ochiltree,2,President,,REP,Uncommitted,12,4,8
Ochiltree,3,President,,REP,Uncommitted,22,11,11
Ochiltree,4,President,,REP,Uncommitted,8,2,6
Ochiltree,1,President,,DEM,Julian Castro,0,0,0
Ochiltree,2,President,,DEM,Julian Castro,0,0,0
Ochiltree,3,President,,DEM,Julian Castro,0,0,0
Ochiltree,4,President,,DEM,Julian Castro,0,0,0
Ochiltree,1,President,,DEM,Cory Booker,0,0,0
Ochiltree,2,President,,DEM,Cory Booker,0,0,0
Ochiltree,3,President,,DEM,Cory Booker,0,0,0
Ochiltree,4,President,,DEM,Cory Booker,0,0,0
Ochiltree,1,President,,DEM,John K. Delaney,0,0,0
Ochiltree,2,President,,DEM,John K. Delaney,0,0,0
Ochiltree,3,President,,DEM,John K. Delaney,0,0,0
Ochiltree,4,President,,DEM,John K. Delaney,0,0,0
Ochiltree,1,President,,DEM,Elizabeth Warren,0,0,0
Ochiltree,2,President,,DEM,Elizabeth Warren,1,0,1
Ochiltree,3,President,,DEM,Elizabeth Warren,4,1,3
Ochiltree,4,President,,DEM,Elizabeth Warren,4,1,3
Ochiltree,1,President,,DEM,Michael R. Bloomberg,3,0,3
Ochiltree,2,President,,DEM,Michael R. Bloomberg,7,2,5
Ochiltree,3,President,,DEM,Michael R. Bloomberg,3,0,3
Ochiltree,4,President,,DEM,Michael R. Bloomberg,1,0,1
Ochiltree,1,President,,DEM,Marianne Williamson,1,0,1
Ochiltree,2,President,,DEM,Marianne Williamson,0,0,0
Ochiltree,3,President,,DEM,Marianne Williamson,1,0,1
Ochiltree,4,President,,DEM,Marianne Williamson,0,0,0
Ochiltree,1,President,,DEM,Bernie Sanders,7,4,3
Ochiltree,2,President,,DEM,Bernie Sanders,8,0,8
Ochiltree,3,President,,DEM,Bernie Sanders,3,2,1
Ochiltree,4,President,,DEM,Bernie Sanders,3,1,2
Ochiltree,1,President,,DEM,Robby Wells,0,0,0
Ochiltree,2,President,,DEM,Robby Wells,0,0,0
Ochiltree,3,President,,DEM,Robby Wells,0,0,0
Ochiltree,4,President,,DEM,Robby Wells,0,0,0
Ochiltree,1,President,,DEM,Deval Patrick,0,0,0
Ochiltree,2,President,,DEM,Deval Patrick,0,0,0
Ochiltree,3,President,,DEM,Deval Patrick,0,0,0
Ochiltree,4,President,,DEM,Deval Patrick,0,0,0
Ochiltree,1,President,,DEM,Pete Buttigieg,0,0,0
Ochiltree,2,President,,DEM,Pete Buttigieg,1,1,0
Ochiltree,3,President,,DEM,Pete Buttigieg,2,2,0
Ochiltree,4,President,,DEM,Pete Buttigieg,0,0,0
Ochiltree,1,President,,DEM,Amy Klobuchar,0,0,0
Ochiltree,2,President,,DEM,Amy Klobuchar,0,0,0
Ochiltree,3,President,,DEM,Amy Klobuchar,0,0,0
Ochiltree,4,President,,DEM,Amy Klobuchar,0,0,0
Ochiltree,1,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Ochiltree,2,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Ochiltree,3,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Ochiltree,4,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Ochiltree,1,President,,DEM,Michael Bennet,0,0,0
Ochiltree,2,President,,DEM,Michael Bennet,1,0,1
Ochiltree,3,President,,DEM,Michael Bennet,0,0,0
Ochiltree,4,President,,DEM,Michael Bennet,0,0,0
Ochiltree,1,President,,DEM,Tom Steyer,0,0,0
Ochiltree,2,President,,DEM,Tom Steyer,0,0,0
Ochiltree,3,President,,DEM,Tom Steyer,1,0,1
Ochiltree,4,President,,DEM,Tom Steyer,0,0,0
Ochiltree,1,President,,DEM,Joseph R. Biden,8,2,6
Ochiltree,2,President,,DEM,Joseph R. Biden,5,1,4
Ochiltree,3,President,,DEM,Joseph R. Biden,9,2,7
Ochiltree,4,President,,DEM,Joseph R. Biden,11,1,10
Ochiltree,1,President,,DEM,Tulsi Gabbard,0,0,0
Ochiltree,2,President,,DEM,Tulsi Gabbard,1,1,0
Ochiltree,3,President,,DEM,Tulsi Gabbard,0,0,0
Ochiltree,4,President,,DEM,Tulsi Gabbard,0,0,0
Ochiltree,1,President,,DEM,Andrew Yang,0,0,0
Ochiltree,2,President,,DEM,Andrew Yang,0,0,0
Ochiltree,3,President,,DEM,Andrew Yang,0,0,0
Ochiltree,4,President,,DEM,Andrew Yang,0,0,0
Ochiltree,1,U.S. Senate,,REP,John Anthony Castro,11,2,9
Ochiltree,2,U.S. Senate,,REP,John Anthony Castro,28,10,18
Ochiltree,3,U.S. Senate,,REP,John Anthony Castro,19,7,12
Ochiltree,4,U.S. Senate,,REP,John Anthony Castro,31,13,18
Ochiltree,1,U.S. Senate,,REP,Virgil Bierschwale,1,0,1
Ochiltree,2,U.S. Senate,,REP,Virgil Bierschwale,2,0,2
Ochiltree,3,U.S. Senate,,REP,Virgil Bierschwale,5,3,2
Ochiltree,4,U.S. Senate,,REP,Virgil Bierschwale,7,2,5
Ochiltree,1,U.S. Senate,,REP,John Cornyn,149,76,73
Ochiltree,2,U.S. Senate,,REP,John Cornyn,258,114,144
Ochiltree,3,U.S. Senate,,REP,John Cornyn,513,252,261
Ochiltree,4,U.S. Senate,,REP,John Cornyn,337,148,189
Ochiltree,1,U.S. Senate,,REP,Mark Yancey,9,6,3
Ochiltree,2,U.S. Senate,,REP,Mark Yancey,21,3,18
Ochiltree,3,U.S. Senate,,REP,Mark Yancey,44,13,31
Ochiltree,4,U.S. Senate,,REP,Mark Yancey,26,6,20
Ochiltree,1,U.S. Senate,,REP,Dwayne Stovall,26,12,14
Ochiltree,2,U.S. Senate,,REP,Dwayne Stovall,27,8,19
Ochiltree,3,U.S. Senate,,REP,Dwayne Stovall,67,33,34
Ochiltree,4,U.S. Senate,,REP,Dwayne Stovall,40,17,23
Ochiltree,1,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,6,1,5
Ochiltree,2,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,3,1,2
Ochiltree,3,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,2,0,2
Ochiltree,4,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,1,0,1
Ochiltree,1,U.S. Senate,,DEM,Chris Bell,2,0,2
Ochiltree,2,U.S. Senate,,DEM,Chris Bell,2,1,1
