county,precinct,office,district,party,candidate,votes,early_votes,election_day
Roberts,1,Registered Voters,,,,152,,
Roberts,1,President,,DEM,Pete Buttigieg,0,0,0
Roberts,1,President,,DEM,Julián Castro,0,0,0
Roberts,1,President,,DEM,Deval Patrick,0,0,0
Roberts,1,President,,DEM,Cory Booker,0,0,0
Roberts,1,President,,DEM,Michael R. Bloomberg,3,1,2
Roberts,1,President,,DEM,Marianne Williamson,0,0,0
Roberts,1,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Roberts,1,President,,DEM,Tulsi Gabbard,0,0,0
Roberts,1,President,,DEM,Tom Steyer,0,0,0
Roberts,1,President,,DEM,John K. Delaney,0,0,0
Roberts,1,President,,DEM,Michael Bennet,0,0,0
Roberts,1,President,,DEM,Andrew Yang,0,0,0
Roberts,1,President,,DEM,Joseph R. Biden,0,0,0
Roberts,1,President,,DEM,Amy Klobuchar,0,0,0
Roberts,1,President,,DEM,Elizabeth Warren,0,0,0
Roberts,1,President,,DEM,Robby Wells,0,0,0
Roberts,1,President,,DEM,Bernie Sanders,0,0,0
Roberts,1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",2,1,1
Roberts,1,U.S. Senate,,DEM,Chris Bell,1,0,1
Roberts,1,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,0,0
Roberts,1,U.S. Senate,,DEM,Victor Hugo Harris,0,0,0
Roberts,1,U.S. Senate,,DEM,"Annie ""Mam"" Garcia",0,0,0
Roberts,1,U.S. Senate,,DEM,Amanda K. Edwards,0,0,0
Roberts,1,U.S. Senate,,DEM,Royce West,0,0,0
Roberts,1,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0
Roberts,1,U.S. Senate,,DEM,D.R. Hunter,0,0,0
Roberts,1,U.S. Senate,,DEM,Michael Cooper,0,0,0
Roberts,1,U.S. Senate,,DEM,Jack Daniel Foster Jr,0,0,0
Roberts,1,U.S. Senate,,DEM,Sema Hernandez,0,0,0
Roberts,1,U.S. House,13,DEM,Timothy W. Gassaway,2,1,1
Roberts,1,U.S. House,13,DEM,Greg Sagan,0,0,0
Roberts,1,U.S. House,13,DEM,Gus Trujillo,1,0,1
Roberts,1,Railroad Commissioner,,DEM,Chrysta Castaeda,1,0,1
Roberts,1,Railroad Commissioner,,DEM,Kelly Stone,1,1,0
Roberts,1,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",1,0,1
Roberts,1,Railroad Commissioner,,DEM,Mark Watson,0,0,0
Roberts,1,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,2,1,1
Roberts,1,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,0,0,0
Roberts,1,"Justice, Supreme Court, Place 6 Unexpired Term",,DEM,Larry Praeger,2,1,1
Roberts,1,"Justice, Supreme Court, Place 6 Unexpired Term",,DEM,Kathy Cheng,1,0,1
Roberts,1,"Justice, Supreme Court, Place 7",,DEM,Brandy Voss,3,1,2
Roberts,1,"Justice, Supreme Court, Place 7",,DEM,Staci Williams,0,0,0
Roberts,1,"Justice, Supreme Court, Place 8",,DEM,Peter Kelly,2,1,1
Roberts,1,"Justice, Supreme Court, Place 8",,DEM,Gisela D. Triana,1,0,1
Roberts,1,"Judge, Court of Criminal Appeals, Place 3",,DEM,William Pieratt Demond,1,0,1
Roberts,1,"Judge, Court of Criminal Appeals, Place 3",,DEM,Elizabeth Davis Frizell,1,0,1
Roberts,1,"Judge, Court of Criminal Appeals, Place 3",,DEM,Dan Wood,1,1,0
Roberts,1,"Judge, Court of Criminal Appeals, Place 4",,DEM,Tina Clinton,2,1,1
Roberts,1,"Judge, Court of Criminal Appeals, Place 4",,DEM,Steven Miears,1,0,1
Roberts,1,"Judge, Court of Criminal Appeals, Place 9",,DEM,Brandon Birmingham,3,1,2
Roberts,1,"Member, State Board of Education",15,DEM,John Betancourt,3,1,2
Roberts,1,Proposition #1,,DEM,Yes,2,1,1
Roberts,1,Proposition #1,,DEM,No,0,0,0
Roberts,1,Proposition #2,,DEM,Yes,3,1,2
Roberts,1,Proposition #2,,DEM,No,0,0,0
Roberts,1,Proposition #3,,DEM,Yes,3,1,2
Roberts,1,Proposition #3,,DEM,No,0,0,0
Roberts,1,Proposition #4,,DEM,Yes,2,1,1
Roberts,1,Proposition #4,,DEM,No,0,0,0
Roberts,1,Proposition #5,,DEM,Yes,2,1,1
Roberts,1,Proposition #5,,DEM,No,0,0,0
Roberts,1,Proposition #6,,DEM,Yes,3,1,2
Roberts,1,Proposition #6,,DEM,No,0,0,0
Roberts,1,Proposition #7,,DEM,Yes,2,1,1
Roberts,1,Proposition #7,,DEM,No,0,0,0
Roberts,1,Proposition #8,,DEM,Yes,3,1,2
Roberts,1,Proposition #8,,DEM,No,0,0,0
Roberts,1,Proposition #9,,DEM,Yes,1,1,0
Roberts,1,Proposition #9,,DEM,No,0,0,0
Roberts,1,Proposition #10,,DEM,Yes,2,1,1
Roberts,1,Proposition #10,,DEM,No,0,0,0
Roberts,1,Proposition #11,,DEM,Yes,2,1,1
Roberts,1,Proposition #11,,DEM,No,0,0,0
Roberts,2,Registered Voters,,,,164,,
Roberts,2,President,,DEM,Pete Buttigieg,0,0,0
Roberts,2,President,,DEM,Julián Castro,0,0,0
Roberts,2,President,,DEM,Deval Patrick,0,0,0
Roberts,2,President,,DEM,Cory Booker,0,0,0
Roberts,2,President,,DEM,Michael R. Bloomberg,1,0,1
Roberts,2,President,,DEM,Marianne Williamson,0,0,0
Roberts,2,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Roberts,2,President,,DEM,Tulsi Gabbard,0,0,0
Roberts,2,President,,DEM,Tom Steyer,0,0,0
Roberts,2,President,,DEM,John K. Delaney,0,0,0
Roberts,2,President,,DEM,Michael Bennet,0,0,0
Roberts,2,President,,DEM,Andrew Yang,0,0,0
Roberts,2,President,,DEM,Joseph R. Biden,0,0,0
Roberts,2,President,,DEM,Amy Klobuchar,1,1,0
Roberts,2,President,,DEM,Elizabeth Warren,0,0,0
Roberts,2,President,,DEM,Robby Wells,0,0,0
Roberts,2,President,,DEM,Bernie Sanders,0,0,0
Roberts,2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",1,0,1
Roberts,2,U.S. Senate,,DEM,Chris Bell,0,0,0
Roberts,2,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,0,0
Roberts,2,U.S. Senate,,DEM,Victor Hugo Harris,0,0,0
Roberts,2,U.S. Senate,,DEM,"Annie ""Mam"" Garcia",0,0,0
Roberts,2,U.S. Senate,,DEM,Amanda K. Edwards,1,1,0
Roberts,2,U.S. Senate,,DEM,Royce West,0,0,0
Roberts,2,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0
Roberts,2,U.S. Senate,,DEM,D.R. Hunter,0,0,0
Roberts,2,U.S. Senate,,DEM,Michael Cooper,0,0,0
Roberts,2,U.S. Senate,,DEM,Jack Daniel Foster Jr,0,0,0
Roberts,2,U.S. Senate,,DEM,Sema Hernandez,0,0,0
Roberts,2,U.S. House,13,DEM,Timothy W. Gassaway,0,0,0
Roberts,2,U.S. House,13,DEM,Greg Sagan,1,0,1
Roberts,2,U.S. House,13,DEM,Gus Trujillo,1,1,0
Roberts,2,Railroad Commissioner,,DEM,Chrysta Castaeda,1,0,1
Roberts,2,Railroad Commissioner,,DEM,Kelly Stone,1,1,0
Roberts,2,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",0,0,0
Roberts,2,Railroad Commissioner,,DEM,Mark Watson,0,0,0
Roberts,2,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,0,0,0
Roberts,2,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,2,1,1
Roberts,2,"Justice, Supreme Court, Place 6 Unexpired Term",,DEM,Larry Praeger,0,0,0
Roberts,2,"Justice, Supreme Court, Place 6 Unexpired Term",,DEM,Kathy Cheng,2,1,1
Roberts,2,"Justice, Supreme Court, Place 7",,DEM,Brandy Voss,0,0,0
Roberts,2,"Justice, Supreme Court, Place 7",,DEM,Staci Williams,2,1,1
Roberts,2,"Justice, Supreme Court, Place 8",,DEM,Peter Kelly,0,0,0
Roberts,2,"Justice, Supreme Court, Place 8",,DEM,Gisela D. Triana,2,1,1
Roberts,2,"Judge, Court of Criminal Appeals, Place 3",,DEM,William Pieratt Demond,0,0,0
Roberts,2,"Judge, Court of Criminal Appeals, Place 3",,DEM,Elizabeth Davis Frizell,2,1,1
Roberts,2,"Judge, Court of Criminal Appeals, Place 3",,DEM,Dan Wood,0,0,0
Roberts,2,"Judge, Court of Criminal Appeals, Place 4",,DEM,Tina Clinton,2,1,1
