county,precinct,office,district,party,candidate,votes
Jones,PRECINCT 101,President,,REP,Donald J. Trump,753
Jones,PRECINCT 102,President,,REP,Donald J. Trump,52
Jones,PRECINCT 103,President,,REP,Donald J. Trump,243
Jones,PRECINCT 201,President,,REP,Donald J. Trump,856
Jones,PRECINCT 202,President,,REP,Donald J. Trump,187
Jones,PRECINCT 203,President,,REP,Donald J. Trump,183
Jones,PRECINCT 301,President,,REP,Donald J. Trump,192
Jones,PRECINCT 302,President,,REP,Donald J. Trump,649
Jones,PRECINCT 303,President,,REP,Donald J. Trump,803
Jones,PRECINCT 401,President,,REP,Donald J. Trump,999
Jones,PRECINCT 402,President,,REP,Donald J. Trump,743
Jones,PRECINCT 101,President,,DEM,Joseph R. Biden,151
Jones,PRECINCT 102,President,,DEM,Joseph R. Biden,44
Jones,PRECINCT 103,President,,DEM,Joseph R. Biden,72
Jones,PRECINCT 201,President,,DEM,Joseph R. Biden,238
Jones,PRECINCT 202,President,,DEM,Joseph R. Biden,29
Jones,PRECINCT 203,President,,DEM,Joseph R. Biden,16
Jones,PRECINCT 301,President,,DEM,Joseph R. Biden,17
Jones,PRECINCT 302,President,,DEM,Joseph R. Biden,80
Jones,PRECINCT 303,President,,DEM,Joseph R. Biden,75
Jones,PRECINCT 401,President,,DEM,Joseph R. Biden,119
Jones,PRECINCT 402,President,,DEM,Joseph R. Biden,158
Jones,PRECINCT 101,President,,LIB,Jo Jorgensen,5
Jones,PRECINCT 102,President,,LIB,Jo Jorgensen,0
Jones,PRECINCT 103,President,,LIB,Jo Jorgensen,6
Jones,PRECINCT 201,President,,LIB,Jo Jorgensen,8
Jones,PRECINCT 202,President,,LIB,Jo Jorgensen,4
Jones,PRECINCT 203,President,,LIB,Jo Jorgensen,1
Jones,PRECINCT 301,President,,LIB,Jo Jorgensen,1
Jones,PRECINCT 302,President,,LIB,Jo Jorgensen,12
Jones,PRECINCT 303,President,,LIB,Jo Jorgensen,7
Jones,PRECINCT 401,President,,LIB,Jo Jorgensen,11
Jones,PRECINCT 402,President,,LIB,Jo Jorgensen,8
Jones,PRECINCT 101,President,,GRN,Howie Hawkins,1
Jones,PRECINCT 102,President,,GRN,Howie Hawkins,1
Jones,PRECINCT 103,President,,GRN,Howie Hawkins,2
Jones,PRECINCT 201,President,,GRN,Howie Hawkins,5
Jones,PRECINCT 202,President,,GRN,Howie Hawkins,0
Jones,PRECINCT 203,President,,GRN,Howie Hawkins,1
Jones,PRECINCT 301,President,,GRN,Howie Hawkins,2
Jones,PRECINCT 302,President,,GRN,Howie Hawkins,1
