county,precinct,office,district,party,candidate,votes,early_votes,election_day,absentee
Palo Pinto,1,Registered Voters,,,,0,,,
Palo Pinto,1,President,,REP,Donald J. Trump Michael R. Pence,335,254,53,28
Palo Pinto,1,President,,DEM,Joseph R. Biden Kamala D. Harris,78,62,7,9
Palo Pinto,1,President,,LIB,"Jo Jorgensen Jeremy ""Spike"" Cohen",3,1,2,0
Palo Pinto,1,President,,GRN,Howie Hawkins Angela Walker,2,2,0,0
Palo Pinto,1,President,,"",Abram Loeb / Jennifer Jairala,0,0,0,0
Palo Pinto,1,President,,"",Brian Carroll / Amar Patel,0,0,0,0
Palo Pinto,1,President,,"",Gloria La Riva / Leonard Peltier,0,0,0,0
Palo Pinto,1,President,,"",Jesse Cuellar / Jimmy Monreal,0,0,0,0
Palo Pinto,1,President,,"",Kasey Wells / Rachel Wells,0,0,0,0
Palo Pinto,1,President,,"",President R. Boddie / Eric C. Stoneham,0,0,0,0
Palo Pinto,1,President,,"",Robert Morrow / Anne Beckett,0,0,0,0
Palo Pinto,1,President,,"",Todd Cella / Tim Cella,0,0,0,0
Palo Pinto,1,President,,"",Tom Hoefling / Andy Prior,0,0,0,0
Palo Pinto,1,President,,"",Rejected write-ins,0,0,0,0
Palo Pinto,1,President,,"",Unassigned write-ins,0,0,0,0
Palo Pinto,1,U.S. Senate,,REP,John Cornyn,327,252,50,25
Palo Pinto,1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",75,59,7,9
Palo Pinto,1,U.S. Senate,,LIB,Kerry Douglas McKennon,7,4,2,1
Palo Pinto,1,U.S. Senate,,GRN,David B. Collins,5,4,1,0
Palo Pinto,1,U.S. Senate,,"",Ricardo Turullols-Bonilla,0,0,0,0
Palo Pinto,1,U.S. Senate,,"",Rejected write-ins,0,0,0,0
Palo Pinto,1,U.S. Senate,,"",Unassigned write-ins,0,0,0,0
Palo Pinto,1,U.S. House,11,REP,August Pfluger,328,248,53,27
Palo Pinto,1,U.S. House,11,DEM,Jon Mark Hogg,72,58,5,9
Palo Pinto,1,U.S. House,11,LIB,Wacey Alpha Cody,10,8,2,0
Palo Pinto,1,Railroad Commissioner,,REP,"James ""Jim"" Wright",332,250,55,27
Palo Pinto,1,Railroad Commissioner,,DEM,Chrysta Castaeda,70,58,4,8
Palo Pinto,1,Railroad Commissioner,,LIB,Matt Sterett,6,4,2,0
Palo Pinto,1,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",4,3,0,1
Palo Pinto,1,"Chief Justice, Supreme Court",,REP,Nathan Hecht,329,249,51,29
Palo Pinto,1,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,72,59,7,6
Palo Pinto,1,"Chief Justice, Supreme Court",,LIB,Mark Ash,8,5,2,1
Palo Pinto,1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,REP,Jane Bland,342,258,55,29
Palo Pinto,1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,DEM,Kathy Cheng,64,52,5,7
Palo Pinto,1,"Justice, Supreme Court, Place No. 7",,REP,Jeff Boyd,327,249,49,29
Palo Pinto,1,"Justice, Supreme Court, Place No. 7",,DEM,Staci Williams,70,55,8,7
Palo Pinto,1,"Justice, Supreme Court, Place No. 7",,LIB,William Bryan Strange III,10,7,3,0
Palo Pinto,1,"Justice, Supreme Court, Place No. 8",,REP,Brett Busby,327,248,50,29
Palo Pinto,1,"Justice, Supreme Court, Place No. 8",,DEM,Gisela D. Triana,69,56,6,7
Palo Pinto,1,"Justice, Supreme Court, Place No. 8",,LIB,Tom Oxford,10,7,3,0
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place No. 3",,REP,Bert Richardson,336,256,52,28
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place No. 3",,DEM,Elizabeth Davis Frizell,70,55,7,8
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place No. 4",,REP,Kevin Patrick Yeary,338,258,52,28
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place No. 4",,DEM,Tina Clinton,69,53,8,8
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place No. 9",,REP,David Newell,336,255,53,28
Palo Pinto,1,"Judge, Court of Criminal Appeals, Place No. 9",,DEM,Brandon Birmingham,72,58,6,8
Palo Pinto,1,"Member State Board of Education, District No. 14",,REP,Sue Melton-Malone,332,253,51,28
Palo Pinto,1,"Member State Board of Education, District No. 14",,DEM,Greg Alvord,74,58,8,8
Palo Pinto,1,State Representative,60,REP,Glenn Rogers,369,284,55,30
Palo Pinto,1,"Justice, 11th Court of Appeals District, Place No. 2",,REP,Bruce Williams,364,279,55,30
Palo Pinto,1,"Justice, 11th Court of Appeals District, Place No. 3 Unexpired Term",,REP,W. Stacy Trotter,365,280,56,29
Palo Pinto,1,"District Judge, 29th Judicial District",,REP,Michael Moore,364,280,54,30
Palo Pinto,1,"District Attorney, 29th Judicial District",,REP,Kriste Burnett,361,277,54,30
Palo Pinto,2,Registered Voters,,,,0,,,
Palo Pinto,2,President,,REP,Donald J. Trump Michael R. Pence,15,9,6,0
Palo Pinto,2,President,,DEM,Joseph R. Biden Kamala D. Harris,1,1,0,0
Palo Pinto,2,President,,LIB,"Jo Jorgensen Jeremy ""Spike"" Cohen",0,0,0,0
Palo Pinto,2,President,,GRN,Howie Hawkins Angela Walker,0,0,0,0
Palo Pinto,2,President,,"",Abram Loeb / Jennifer Jairala,0,0,0,0
Palo Pinto,2,President,,"",Brian Carroll / Amar Patel,0,0,0,0
Palo Pinto,2,President,,"",Gloria La Riva / Leonard Peltier,0,0,0,0
Palo Pinto,2,President,,"",Jesse Cuellar / Jimmy Monreal,0,0,0,0
Palo Pinto,2,President,,"",Kasey Wells / Rachel Wells,0,0,0,0
Palo Pinto,2,President,,"",President R. Boddie / Eric C. Stoneham,0,0,0,0
Palo Pinto,2,President,,"",Robert Morrow / Anne Beckett,0,0,0,0
Palo Pinto,2,President,,"",Todd Cella / Tim Cella,0,0,0,0
Palo Pinto,2,President,,"",Tom Hoefling / Andy Prior,0,0,0,0
Palo Pinto,2,President,,"",Rejected write-ins,0,0,0,0
Palo Pinto,2,President,,"",Unassigned write-ins,0,0,0,0
Palo Pinto,2,U.S. Senate,,REP,John Cornyn,14,8,6,0
Palo Pinto,2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",1,1,0,0
Palo Pinto,2,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
Palo Pinto,2,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Palo Pinto,2,U.S. Senate,,"",Ricardo Turullols-Bonilla,0,0,0,0
Palo Pinto,2,U.S. Senate,,"",Rejected write-ins,0,0,0,0
Palo Pinto,2,U.S. Senate,,"",Unassigned write-ins,0,0,0,0
Palo Pinto,2,U.S. House,11,REP,August Pfluger,15,9,6,0
Palo Pinto,2,U.S. House,11,DEM,Jon Mark Hogg,0,0,0,0
Palo Pinto,2,U.S. House,11,LIB,Wacey Alpha Cody,0,0,0,0
Palo Pinto,2,Railroad Commissioner,,REP,"James ""Jim"" Wright",16,10,6,0
Palo Pinto,2,Railroad Commissioner,,DEM,Chrysta Castaeda,0,0,0,0
Palo Pinto,2,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0
Palo Pinto,2,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Palo Pinto,2,"Chief Justice, Supreme Court",,REP,Nathan Hecht,14,8,6,0
Palo Pinto,2,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,1,1,0,0
Palo Pinto,2,"Chief Justice, Supreme Court",,LIB,Mark Ash,0,0,0,0
Palo Pinto,2,"Justice, Supreme Court, Place No. 6 Unexpired Term",,REP,Jane Bland,14,8,6,0
Palo Pinto,2,"Justice, Supreme Court, Place No. 6 Unexpired Term",,DEM,Kathy Cheng,1,1,0,0
Palo Pinto,2,"Justice, Supreme Court, Place No. 7",,REP,Jeff Boyd,14,8,6,0
Palo Pinto,2,"Justice, Supreme Court, Place No. 7",,DEM,Staci Williams,1,1,0,0
Palo Pinto,2,"Justice, Supreme Court, Place No. 7",,LIB,William Bryan Strange III,0,0,0,0
Palo Pinto,2,"Justice, Supreme Court, Place No. 8",,REP,Brett Busby,14,8,6,0
Palo Pinto,2,"Justice, Supreme Court, Place No. 8",,DEM,Gisela D. Triana,1,1,0,0
Palo Pinto,2,"Justice, Supreme Court, Place No. 8",,LIB,Tom Oxford,0,0,0,0
Palo Pinto,2,"Judge, Court of Criminal Appeals, Place No. 3",,REP,Bert Richardson,14,8,6,0
Palo Pinto,2,"Judge, Court of Criminal Appeals, Place No. 3",,DEM,Elizabeth Davis Frizell,1,1,0,0
Palo Pinto,2,"Judge, Court of Criminal Appeals, Place No. 4",,REP,Kevin Patrick Yeary,14,8,6,0
Palo Pinto,2,"Judge, Court of Criminal Appeals, Place No. 4",,DEM,Tina Clinton,1,1,0,0
Palo Pinto,2,"Judge, Court of Criminal Appeals, Place No. 9",,REP,David Newell,14,8,6,0
Palo Pinto,2,"Judge, Court of Criminal Appeals, Place No. 9",,DEM,Brandon Birmingham,1,1,0,0
