county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Wise,01 - D2,Registered Voters,,,,1,,,
Wise,01 - D2,Ballots Cast,,,,0,,,
Wise,01 - D2,President,,REP,Donald J. Trump/Michael R. Pence,0,0,0,0
Wise,01 - D2,President,,DEM,Joseph R. Biden/Kamala D. Harris,0,0,0,0
Wise,01 - D2,President,,LIB,"Jo Jorgensen/Jeremy ""Spike"" Cohen",0,0,0,0
Wise,01 - D2,President,,GRN,Howie Hawkins/Angela Walker,0,0,0,0
Wise,01 - D2,President,,"",Abram Loeb/Jennifer Jairala,0,0,0,0
Wise,01 - D2,President,,"",Brian Carroll/Amar Patel,0,0,0,0
Wise,01 - D2,President,,"",Gloria La Riva/Leonard Peltier,0,0,0,0
Wise,01 - D2,President,,"",Jesse Cuellar/Jimmy Monreal,0,0,0,0
Wise,01 - D2,President,,"",Kasey Wells/Rachel Wells,0,0,0,0
Wise,01 - D2,President,,"",President R. Boddie/Eric C. Stoneham,0,0,0,0
Wise,01 - D2,President,,"",Robert Morrow/Anne Beckett,0,0,0,0
Wise,01 - D2,President,,"",Todd Cella/Tim Cella,0,0,0,0
Wise,01 - D2,President,,"",Tom Hoefling/Andy Prior,0,0,0,0
Wise,01 - D2,President,,"",Rejected write-ins,0,0,0,0
Wise,01 - D2,President,,"",Unassigned write-ins,0,0,0,0
Wise,01 - D2,U.S. Senate,,REP,John Cornyn,0,0,0,0
Wise,01 - D2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",0,0,0,0
Wise,01 - D2,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
Wise,01 - D2,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Wise,01 - D2,U.S. Senate,,"",Ricardo Turullols-Bonilla,0,0,0,0
Wise,01 - D2,U.S. Senate,,"",Rejected write-ins,0,0,0,0
Wise,01 - D2,U.S. Senate,,"",Unassigned write-ins,0,0,0,0
Wise,01 - D2,U.S. House,13,REP,Ronny Jackson,0,0,0,0
Wise,01 - D2,U.S. House,13,DEM,Gus Trujillo,0,0,0,0
Wise,01 - D2,U.S. House,13,LIB,Jack B. Westbrook,0,0,0,0
Wise,01 - D2,RAILROAD COMMISSIONER,,REP,"James ""Jim"" Wright",0,0,0,0
Wise,01 - D2,RAILROAD COMMISSIONER,,DEM,Chrysta Castaeda,0,0,0,0
Wise,01 - D2,RAILROAD COMMISSIONER,,LIB,Matt Sterett,0,0,0,0
Wise,01 - D2,RAILROAD COMMISSIONER,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Wise,01 - D2,"CHIEF JUSTICE, SUPREME COURT",,REP,Nathan Hecht,0,0,0,0
Wise,01 - D2,"CHIEF JUSTICE, SUPREME COURT",,DEM,Amy Clark Meachum,0,0,0,0
Wise,01 - D2,"CHIEF JUSTICE, SUPREME COURT",,LIB,Mark Ash,0,0,0,0
Wise,01 - D2,"JUSTICE, SUPREME COURT, PLACE 6 (UNEXPIRED TERM)",,REP,Jane Bland,0,0,0,0
Wise,01 - D2,"JUSTICE, SUPREME COURT, PLACE 6 (UNEXPIRED TERM)",,DEM,Kathy Cheng,0,0,0,0
Wise,01 - D2,"JUSTICE, SUPREME COURT, PLACE 7",,REP,Jeff Boyd,0,0,0,0
